id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_account_input_categ_id,property_stock_account_output_categ_id,property_stock_valuation_account_id,property_account_creditor_price_difference_categ,property_account_downpayment_categ_id,property_stock_account_production_cost_id,usage_type,active,show_on_product,scgl_allow_sale,scgl_allow_purchase,scgl_allow_expense
48,42,1,2,064 - ค่าธรรมเนียม,ทั้งหมด / คชจ. / 06 - อื่นๆ / 064 - ค่าธรรมเนียม,1/3/42/48/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
60,55,1,2,070 - Construction Materials (วัสดุก่อสร้าง),ทั้งหมด / คชจ. / 07 - รับเหมา / 070 - Construction Materials (วัสดุก่อสร้าง),1/3/55/60/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
100,74,2,2,2500-01 Factory Consumable - Stock,ทั้งหมด / คชจ. / 2500 - วัสดุสิ้นเปลือง / 2500-01 Factory Consumable - Stock,1/3/74/100/,\N,2026-08-24 08:38:53.962436,2026-08-25 03:47:29.304164,\N,\N,\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 93, ""4"": 131}",\N,\N,\N,expense,t,t,t,t,t
102,74,2,2,2500-03 Factory Consumable - Direct Expense,ทั้งหมด / คชจ. / 2500 - วัสดุสิ้นเปลือง / 2500-03 Factory Consumable - Direct Expense,1/3/74/102/,\N,2026-08-24 08:38:55.2644,2026-08-25 03:47:39.507668,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
104,75,2,2,3000-02 Fuel - Direct Expense,ทั้งหมด / คชจ. / 3000 - เชื้อเพลิงและสารหล่อลื่น / 3000-02 Fuel - Direct Expense,1/3/75/104/,\N,2026-08-24 08:38:55.846423,2026-08-25 03:47:55.23701,\N,"{""1"": 287, ""2"": 418, ""3"": 536, ""4"": 653}",\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
105,75,2,2,3000-03 Lubricant,ทั้งหมด / คชจ. / 3000 - เชื้อเพลิงและสารหล่อลื่น / 3000-03 Lubricant,1/3/75/105/,\N,2026-08-24 08:38:56.161677,2026-08-25 03:48:00.150959,\N,"{""1"": 287, ""2"": 418, ""3"": 536, ""4"": 653}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
106,76,2,2,4000-01 Project Labor,ทั้งหมด / คชจ. / 4000 - ค่าแรงและผู้รับเหมาช่วง / 4000-01 Project Labor,1/3/76/106/,\N,2026-08-24 08:38:56.465422,2026-08-25 03:48:12.847452,\N,"{""1"": 187, ""2"": 73, ""3"": 534, ""4"": 651}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
107,76,2,2,4000-02 Subcontractor,ทั้งหมด / คชจ. / 4000 - ค่าแรงและผู้รับเหมาช่วง / 4000-02 Subcontractor,1/3/76/107/,\N,2026-08-24 08:38:56.661852,2026-08-25 03:52:10.727014,\N,"{""3"": 533, ""4"": 650}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
117,82,2,2,4600-02 Factory & General Operating Expense,ทั้งหมด / คชจ. / 4600 - ค่าใช้จ่ายสำนักงานและบริหาร / 4600-02 Factory & General Operating Expense,1/3/82/117/,\N,2026-08-24 08:38:58.928404,2026-08-25 03:52:52.026706,\N,"{""1"": 189, ""2"": 75, ""3"": 113, ""4"": 151}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
118,82,2,2,4600-03 Finance / Other Non-stock,ทั้งหมด / คชจ. / 4600 - ค่าใช้จ่ายสำนักงานและบริหาร / 4600-03 Finance / Other Non-stock,1/3/82/118/,\N,2026-08-24 08:38:59.165141,2026-08-25 03:52:55.854177,\N,"{""1"": 189, ""2"": 75, ""3"": 113, ""4"": 151}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
