id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_account_input_categ_id,property_stock_account_output_categ_id,property_stock_valuation_account_id,property_account_creditor_price_difference_categ,property_account_downpayment_categ_id,property_stock_account_production_cost_id,usage_type,active,show_on_product,scgl_allow_sale,scgl_allow_purchase,scgl_allow_expense
92,70,2,117,2100-02 Aggregate / Stone,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-02 Aggregate / Stone,1/3/70/92/,\N,2026-08-24 08:38:51.693547,2026-08-25 12:16:47.729792,"{""1"": 272, ""2"": 403}","{""1"": 280, ""2"": 411, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 218, ""2"": 350, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
99,73,2,117,2400-01 Electrical & Plumbing Material,ทั้งหมด / คชจ. / 2400 - วัสดุไฟฟ้าและประปา / 2400-01 Electrical & Plumbing Material,1/3/73/99/,\N,2026-08-24 08:38:53.669468,2026-08-25 12:21:35.335587,"{""1"": 272, ""2"": 403}","{""1"": 295, ""2"": 426, ""3"": 532, ""4"": 649}",\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
128,2,1,1,Booking Fees,ทั้งหมด / รายได้ / Booking Fees,1/2/128/,\N,2026-08-29 09:00:46.444004,2026-08-29 09:00:46.444004,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,t,t,t,t,t
91,70,2,117,2100-01 Sand,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-01 Sand,1/3/70/91/,\N,2026-08-24 08:38:51.476087,2026-08-25 12:17:17.492153,"{""1"": 272, ""2"": 403}","{""1"": 279, ""2"": 410, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 217, ""2"": 349, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
113,80,2,117,4400-01 Project Operating Expense,ทั้งหมด / คชจ. / 4400 - ค่าดำเนินงานโครงการ / 4400-01 Project Operating Expense,1/3/80/113/,\N,2026-08-24 08:38:58.001816,2026-08-25 12:23:14.874733,\N,"{""1"": 189, ""2"": 75, ""3"": 541, ""4"": 658}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
90,69,2,117,2000-04 Other Production Material - Raw Material,ทั้งหมด / คชจ. / 2000 - วัสดุก่อสร้าง / 2000-04 Other Production Material - Raw Material,1/3/69/90/,\N,2026-08-24 08:38:51.2599,2026-08-25 12:50:46.604175,"{""1"": 272, ""2"": 403}","{""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
65,\N,2,2,Workforce,Workforce,65/,\N,2026-08-18 09:29:22.032391,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
93,70,2,117,2100-03 Fly Ash / Additive,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-03 Fly Ash / Additive,1/3/70/93/,\N,2026-08-24 08:38:51.931311,2026-08-25 12:16:36.03491,"{""1"": 272, ""2"": 403}","{""1"": 282, ""2"": 413, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 220, ""2"": 352, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,f,t,t
73,3,2,117,2400 - วัสดุไฟฟ้าและประปา,ทั้งหมด / คชจ. / 2400 - วัสดุไฟฟ้าและประปา,1/3/73/,\N,2026-08-24 08:38:48.753648,2026-08-25 12:21:42.448528,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
86,68,2,117,1000-01 Construction Service Revenue,ทั้งหมด / รายได้ / 1000 - รายได้งานรับเหมาก่อสร้าง / 1000-01 Construction Service Revenue,1/2/68/86/,\N,2026-08-24 08:38:50.286383,2026-08-25 12:24:39.567994,"{""3"": 525, ""4"": 642}",\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,saleable,t,t,t,t,t
111,78,2,2,4200-03 General Logistics,ทั้งหมด / คชจ. / 4200 - ค่าขนส่งและโลจิสติกส์ / 4200-03 General Logistics,1/3/78/111/,\N,2026-08-24 08:38:57.602916,2026-08-25 03:52:29.684353,"{""1"": 273, ""2"": 404, ""3"": 527, ""4"": 644}","{""1"": 189, ""2"": 75, ""3"": 538, ""4"": 655}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
72,3,2,2,2300 - วัสดุงานถนน,ทั้งหมด / คชจ. / 2300 - วัสดุงานถนน,1/3/72/,\N,2026-08-24 08:38:48.677747,2026-08-25 03:42:47.714289,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
68,2,2,2,1000 - รายได้งานรับเหมาก่อสร้าง,ทั้งหมด / รายได้ / 1000 - รายได้งานรับเหมาก่อสร้าง,1/2/68/,\N,2026-08-24 08:38:48.285637,2026-08-25 03:44:51.889047,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,saleable,t,f,t,t,t
95,71,2,2,2200-01 Produced Finished Goods,ทั้งหมด / รายได้ / 2200 - ท่อและคอนกรีตสำเร็จรูป / 2200-01 Produced Finished Goods,1/2/71/95/,\N,2026-08-24 08:38:52.567367,2026-08-25 03:45:41.075905,\N,\N,\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 93, ""4"": 131}",\N,\N,\N,saleable,t,t,t,t,t
19,17,1,2,051 - ดอกเบี้ย(กพ.),ทั้งหมด / รายได้ / 05 - อื่น ๆ (SPC)(กพ.) / 051 - ดอกเบี้ย(กพ.),1/2/17/19/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
70,3,2,2,2100 - มวลรวม,ทั้งหมด / คชจ. / 2100 - มวลรวม,1/3/70/,\N,2026-08-24 08:38:48.516729,2026-08-25 03:45:16.328171,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
94,70,2,2,2100-04 Admixture,ทั้งหมด / คชจ. / 2100 - มวลรวม / 2100-04 Admixture,1/3/70/94/,\N,2026-08-24 08:38:52.339709,2026-08-25 03:47:06.285138,"{""1"": 272, ""2"": 403}","{""1"": 281, ""2"": 412, ""3"": 532, ""4"": 649}",\N,partial,\N,"{""1"": ""average""}",\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 219, ""2"": 351, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
79,3,2,2,4300 - ค่าทดสอบและห้องปฏิบัติการ,ทั้งหมด / คชจ. / 4300 - ค่าทดสอบและห้องปฏิบัติการ,1/3/79/,\N,2026-08-24 08:38:49.502931,2026-08-25 03:43:58.57771,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
9,8,1,2,021 - วัสดุและสินค้าอื่นๆ(กพ.),ทั้งหมด / รายได้ / 02 - ซื้อมา-ขายไป (Dropship)(กพ.) / 021 - วัสดุและสินค้าอื่นๆ(กพ.),1/2/8/9/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
10,8,1,2,022 - คอนกรีตสำเร็จรูป (Droupship)(กพ.),ทั้งหมด / รายได้ / 02 - ซื้อมา-ขายไป (Dropship)(กพ.) / 022 - คอนกรีตสำเร็จรูป (Droupship)(กพ.),1/2/8/10/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
71,2,2,2,2200 - ท่อและคอนกรีตสำเร็จรูป,ทั้งหมด / รายได้ / 2200 - ท่อและคอนกรีตสำเร็จรูป,1/2/71/,\N,2026-08-24 08:38:48.599322,2026-08-25 03:45:28.230249,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,saleable,t,f,t,t,t
15,11,1,2,043 - ค่าเช่ารถ(กพ.),ทั้งหมด / รายได้ / 04 - งานบริการ / 043 - ค่าเช่ารถ(กพ.),1/2/11/15/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
75,3,2,2,3000 - เชื้อเพลิงและสารหล่อลื่น,ทั้งหมด / คชจ. / 3000 - เชื้อเพลิงและสารหล่อลื่น,1/3/75/,\N,2026-08-24 08:38:48.916028,2026-08-25 03:47:44.168708,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
24,3,1,2,01 - วัตถุดิบเพื่อการผลิต - โรงงาน,ทั้งหมด / คชจ. / 01 - วัตถุดิบเพื่อการผลิต - โรงงาน,1/3/24/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
126,85,2,2,9000-02 Unclassified / Review,9000 - Migration Review / Legacy / 9000-02 Unclassified / Review,85/126/,\N,2026-08-24 08:39:00.997174,2026-08-24 09:26:23.213916,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
112,79,2,117,4300-01 Quality / Laboratory Testing,ทั้งหมด / คชจ. / 4300 - ค่าทดสอบและห้องปฏิบัติการ / 4300-01 Quality / Laboratory Testing,1/3/79/112/,\N,2026-08-24 08:38:57.789413,2026-08-26 05:16:11.004963,\N,"{""1"": 293, ""2"": 424, ""3"": 539, ""4"": 656}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
7,5,1,2,011 - สินค้าสำเร็จรูป,ทั้งหมด / รายได้ / 01 - ผลิตภัณฑ์หลัก / 011 - สินค้าสำเร็จรูป,1/2/5/7/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
64,\N,2,2,Building Materials,Building Materials,64/,\N,2026-08-18 09:29:22.032391,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
8,2,1,2,02 - ซื้อมา-ขายไป (Dropship)(กพ.),ทั้งหมด / รายได้ / 02 - ซื้อมา-ขายไป (Dropship)(กพ.),1/2/8/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
25,3,1,2,04 - ยานพาหนะ,ทั้งหมด / คชจ. / 04 - ยานพาหนะ,1/3/25/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,expense,f,f,t,t,t
127,1,1,1,ค่าใช้จ่าย.,ทั้งหมด / ค่าใช้จ่าย.,1/127/,\N,2026-08-25 06:27:01.17613,2026-08-25 06:27:01.17613,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,t,t,t,t,t
40,39,1,2,021 - น้ำมัน(ถังโรงงาน)(กพ.),ทั้งหมด / คชจ. / 02 - น้ำมัน / 021 - น้ำมัน(ถังโรงงาน)(กพ.),1/3/39/40/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
97,71,2,2,2200-03 Ready-mix Concrete,ทั้งหมด / รายได้ / 2200 - ท่อและคอนกรีตสำเร็จรูป / 2200-03 Ready-mix Concrete,1/2/71/97/,\N,2026-08-24 08:38:53.00993,2026-08-25 07:16:47.633854,"{""1"": 268, ""2"": 399}",\N,\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 93, ""4"": 131}",\N,\N,\N,saleable,t,t,t,t,t
21,3,1,2,วัสดุก่อสร้าง,ทั้งหมด / คชจ. / วัสดุก่อสร้าง,1/3/21/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
98,72,2,2,2300-01 Roadwork Material - Stock,ทั้งหมด / คชจ. / 2300 - วัสดุงานถนน / 2300-01 Roadwork Material - Stock,1/3/72/98/,\N,2026-08-24 08:38:53.431624,2026-08-25 03:47:13.540517,"{""1"": 272, ""2"": 403}","{""1"": 295, ""2"": 426, ""3"": 532, ""4"": 649}",\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 481, ""4"": 598}",\N,\N,\N,expense,t,t,t,t,t
81,3,2,2,4500 - ค่าธรรมเนียมและหนังสือค้ำประกัน,ทั้งหมด / คชจ. / 4500 - ค่าธรรมเนียมและหนังสือค้ำประกัน,1/3/81/,\N,2026-08-24 08:38:49.701561,2026-08-25 03:44:07.904401,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
82,3,2,2,4600 - ค่าใช้จ่ายสำนักงานและบริหาร,ทั้งหมด / คชจ. / 4600 - ค่าใช้จ่ายสำนักงานและบริหาร,1/3/82/,\N,2026-08-24 08:38:49.837536,2026-08-25 03:44:24.044135,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
85,\N,2,2,9000 - Migration Review / Legacy,9000 - Migration Review / Legacy,85/,\N,2026-08-24 08:38:50.194668,2026-08-24 09:26:34.361997,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
83,3,2,2,4700 - เครื่องมือและอุปกรณ์,ทั้งหมด / คชจ. / 4700 - เครื่องมือและอุปกรณ์,1/3/83/,\N,2026-08-24 08:38:49.941299,2026-08-25 03:44:32.736272,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
84,3,2,2,4800 - ครุภัณฑ์และสินทรัพย์,ทั้งหมด / คชจ. / 4800 - ครุภัณฑ์และสินทรัพย์,1/3/84/,\N,2026-08-24 08:38:50.026258,2026-08-25 03:44:39.797107,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
33,3,1,2,05 - ค่าซ่อมแซม - บำรุงรักษา,ทั้งหมด / คชจ. / 05 - ค่าซ่อมแซม - บำรุงรักษา,1/3/33/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
39,3,1,2,02 - น้ำมัน,ทั้งหมด / คชจ. / 02 - น้ำมัน,1/3/39/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,all,f,f,t,t,t
3,1,1,2,คชจ.,ทั้งหมด / คชจ.,1/3/,\N,2026-08-18 06:09:33.341157,2026-08-25 03:46:13.395393,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
74,3,2,2,2500 - วัสดุสิ้นเปลือง,ทั้งหมด / คชจ. / 2500 - วัสดุสิ้นเปลือง,1/3/74/,\N,2026-08-24 08:38:48.834457,2026-08-25 03:47:24.50905,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
69,3,2,2,2000 - วัสดุก่อสร้าง,ทั้งหมด / คชจ. / 2000 - วัสดุก่อสร้าง,1/3/69/,\N,2026-08-24 08:38:48.373261,2026-08-25 03:50:58.468864,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
78,3,2,2,4200 - ค่าขนส่งและโลจิสติกส์,ทั้งหมด / คชจ. / 4200 - ค่าขนส่งและโลจิสติกส์,1/3/78/,\N,2026-08-24 08:38:49.420317,2026-08-25 03:52:17.586446,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
26,25,1,2,03 - วัสดุก่อสร้าง-อะไหล่-ชิ้นส่วน (Stock),ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 03 - วัสดุก่อสร้าง-อะไหล่-ชิ้นส่วน (Stock),1/3/25/26/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
44,42,1,2,067 - จ้างขนส่ง/ค่าบริการ,ทั้งหมด / คชจ. / 06 - อื่นๆ / 067 - จ้างขนส่ง/ค่าบริการ,1/3/42/44/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
109,78,2,2,4200-01 Production Inbound Logistics,ทั้งหมด / คชจ. / 4200 - ค่าขนส่งและโลจิสติกส์ / 4200-01 Production Inbound Logistics,1/3/78/109/,\N,2026-08-24 08:38:57.080437,2026-08-25 03:52:22.093282,\N,"{""1"": 283, ""2"": 414}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
27,25,1,2,"043 - ค่าซ่อมบำรุงรถยนต์ - ยานพาหนะ, รถขนส่ง","ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 043 - ค่าซ่อมบำรุงรถยนต์ - ยานพาหนะ, รถขนส่ง",1/3/25/27/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
28,25,1,2,041 - ค่ากรมธรรม์ประกันภัย,ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 041 - ค่ากรมธรรม์ประกันภัย,1/3/25/28/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
80,3,2,117,4400 - ค่าดำเนินงานโครงการ,ทั้งหมด / คชจ. / 4400 - ค่าดำเนินงานโครงการ,1/3/80/,\N,2026-08-24 08:38:49.601718,2026-08-25 12:23:21.833573,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
76,3,2,2,4000 - ค่าแรงและผู้รับเหมาช่วง,ทั้งหมด / คชจ. / 4000 - ค่าแรงและผู้รับเหมาช่วง,1/3/76/,\N,2026-08-24 08:38:48.986072,2026-08-25 03:43:34.502481,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,f,t,t,t
4,2,1,2,อะไหล่,ทั้งหมด / รายได้ / อะไหล่,1/2/4/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
29,25,1,2,042 - ค่าบริการ GPS,ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 042 - ค่าบริการ GPS,1/3/25/29/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
30,25,1,2,044 - ค่าภาษี - ยานพาหนะ,ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 044 - ค่าภาษี - ยานพาหนะ,1/3/25/30/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
101,74,2,2,2500-02 Office Consumable - Expense,ทั้งหมด / คชจ. / 2500 - วัสดุสิ้นเปลือง / 2500-02 Office Consumable - Expense,1/3/74/101/,\N,2026-08-24 08:38:54.186945,2026-08-25 03:47:34.827906,\N,"{""1"": 189, ""2"": 75, ""3"": 113, ""4"": 151}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
31,25,1,2,045 - ค่า พรบ. - ยานพาหนะ,ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 045 - ค่า พรบ. - ยานพาหนะ,1/3/25/31/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
32,25,1,2,046 - วัสดุ-อุปกรณ์ - ยานพาหนะ,ทั้งหมด / คชจ. / 04 - ยานพาหนะ / 046 - วัสดุ-อุปกรณ์ - ยานพาหนะ,1/3/25/32/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
34,33,1,2,051 - สำนักงานและอาคารโรงงาน,ทั้งหมด / คชจ. / 05 - ค่าซ่อมแซม - บำรุงรักษา / 051 - สำนักงานและอาคารโรงงาน,1/3/33/34/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
49,42,1,2,065 - ค่าใช้จ่าย โรงงาน,ทั้งหมด / คชจ. / 06 - อื่นๆ / 065 - ค่าใช้จ่าย โรงงาน,1/3/42/49/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
53,42,1,2,071 - จ้างขนส่ง-ค่าบริการ,ทั้งหมด / คชจ. / 06 - อื่นๆ / 071 - จ้างขนส่ง-ค่าบริการ,1/3/42/53/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
54,42,1,2,061 - วัสดุสิ้นเปลืองสำนักงาน,ทั้งหมด / คชจ. / 06 - อื่นๆ / 061 - วัสดุสิ้นเปลืองสำนักงาน,1/3/42/54/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
35,33,1,2,052 - เครื่องจักรและอุปกรณ์ต่อพ่วงโรงงาน,ทั้งหมด / คชจ. / 05 - ค่าซ่อมแซม - บำรุงรักษา / 052 - เครื่องจักรและอุปกรณ์ต่อพ่วงโรงงาน,1/3/33/35/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,f,t,t,t,t
