id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date,api_key_duration
31,"{""en_US"": ""A warning can be set on a partner (Account)"", ""th_TH"": ""สามารถตั้งคำเตือนในผู้จำหน่าย (บัญชี)""}",17,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
32,"{""en_US"": ""Allow the cash rounding management"", ""th_TH"": ""อนุญาตให้มีการจัดการการปัดเศษเงินสด""}",17,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
27,"{""en_US"": ""Invoicing & Banks"", ""th_TH"": ""พื้นฐาน""}",2,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:58.553781,\N
24,"{""en_US"": ""Delivery Address"", ""th_TH"": ""ที่อยู่จัดส่ง""}",17,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
34,"{""en_US"": ""Purchase Receipt"", ""th_TH"": ""ใบเสร็จซื้อ""}",17,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
33,"{""en_US"": ""Sale Receipt"", ""th_TH"": ""ใบเสร็จรับเงินการขาย""}",17,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
30,"{""en_US"": ""Show Inalterability Features"", ""th_TH"": ""แสดงฟีเจอร์ที่ไม่สามารถเปลี่ยนแปลงได้""}",161,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
35,"{""en_US"": ""Validate bank account"", ""th_TH"": ""ตรวจสอบบัญชีธนาคาร""}",164,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-18 06:09:44.73875,\N
61,"{""en_US"": ""A warning can be set on a product or a customer (Sale)"", ""th_TH"": ""สามารถตั้งเตือนบนสินค้าหรือลูกค้าได้ (ขาย)""}",17,\N,1,1,\N,\N,2026-08-18 06:10:14.380796,2026-08-18 06:10:14.380796,\N
59,"{""en_US"": ""Lock Confirmed Sales"", ""th_TH"": ""ล็อกการขายที่ยืนยันแล้ว""}",17,\N,1,1,\N,\N,2026-08-18 06:10:14.380796,2026-08-18 06:10:14.380796,\N
62,"{""en_US"": ""Pro-forma Invoices"", ""th_TH"": ""ใบแจ้งหนี้ Pro-Forma""}",17,\N,1,1,\N,\N,2026-08-18 06:10:14.380796,2026-08-18 06:10:14.380796,\N
63,"{""en_US"": ""Quotation Templates"", ""th_TH"": ""เทมเพลตใบเสนอราคา""}",17,\N,1,1,\N,\N,2026-08-18 06:10:19.848044,2026-08-18 06:10:19.848044,\N
47,"{""en_US"": ""A warning can be set on a partner (Stock)"", ""th_TH"": ""สามารถตั้งเตือนคู่ค้าได้ (สต็อก)""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
40,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",100,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
43,"{""en_US"": ""Display Serial & Lot Number in Delivery Slips"", ""th_TH"": ""แสดงหมายเลขซีเรียลและหมายเลขล็อตในใบส่งสินค้า""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
72,"{""en_US"": ""Manage template access"", ""th_TH"": ""จัดการการเข้าถึงเทมเพลต""}",17,\N,1,1,\N,\N,2026-08-18 09:27:35.09053,2026-08-18 09:27:35.09053,\N
73,"{""en_US"": ""User: Own Templates"", ""th_TH"": ""ผู้ใช้: เทมเพลตของตัวเอง""}",133,\N,1,1,\N,\N,2026-08-18 09:27:35.09053,2026-08-18 09:27:35.09053,\N
74,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",133,\N,1,1,\N,\N,2026-08-18 09:27:35.09053,2026-08-18 09:27:35.09053,\N
92,"{""en_US"": ""Use Time Billing"", ""th_TH"": ""ใช้การเรียกเก็บเงินตามเวลา""}",17,\N,1,1,\N,\N,2026-08-18 09:28:48.082083,2026-08-18 09:28:48.082083,\N
46,"{""en_US"": ""Manage Different Stock Owners"", ""th_TH"": ""จัดการเจ้าของสต็อกที่แตกต่าง""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
41,"{""en_US"": ""Manage Lots / Serial Numbers"", ""th_TH"": ""จัดการล็อต / เลขซีเรียล""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
38,"{""en_US"": ""Manage Multiple Warehouses"", ""th_TH"": ""จัดการคลังสินค้าหลายแห่ง""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
44,"{""en_US"": ""Manage Packages"", ""th_TH"": ""จัดการหีบห่อ""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
42,"{""en_US"": ""Print GS1 Barcodes for Lot & Serial Numbers"", ""th_TH"": ""พิมพ์บาร์โค้ด GS1 สำหรับล็อตและหมายเลขซีเรียล""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
48,"{""en_US"": ""Require a signature on your delivery orders"", ""th_TH"": ""ต้องมีลายเซ็นในคำสั่งซื้อจัดส่งของคุณ""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
49,"{""en_US"": ""Use Reception Report"", ""th_TH"": ""ใช้รายงานการรับ""}",17,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 06:09:52.748993,\N
53,"{""en_US"": ""A warning can be set on a product or a customer (Purchase)"", ""th_TH"": ""สามารถตั้งคำเตือนบนสินค้าหรือลูกค้าได้ (จัดซื้อ)""}",17,\N,1,1,\N,\N,2026-08-18 06:10:03.281411,2026-08-18 06:10:03.281411,\N
52,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",4,\N,1,1,\N,\N,2026-08-18 06:10:03.281411,2026-08-18 06:10:03.281411,\N
51,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",4,\N,1,1,\N,\N,2026-08-18 06:10:03.281411,2026-08-18 06:10:03.281411,\N
55,"{""en_US"": ""Display Serial & Lot Number on Invoices"", ""th_TH"": ""แสดงหมายเลขซีเรียลและหมายเลขล็อตบนใบแจ้งหนี้""}",17,\N,1,1,\N,\N,2026-08-18 06:10:06.702891,2026-08-18 06:10:06.702891,\N
56,"{""en_US"": ""Stock Accounting Automatic"", ""th_TH"": ""การบัญชีสต็อกอัตโนมัติ""}",17,\N,1,1,\N,\N,2026-08-18 06:10:06.702891,2026-08-18 06:10:06.702891,\N
50,"{""en_US"": ""Allow to define fiscal years of more or less than a year"", ""th_TH"": ""อนุญาตให้กําหนดปีบัญชีที่มีมากกว่าหรือน้อยกว่าปี""}",17,\N,1,1,\N,\N,2026-08-18 06:09:58.553781,2026-08-18 06:09:58.553781,\N
36,"{""en_US"": ""Admin"", ""th_TH"": ""แอดมิน""}",135,\N,1,1,\N,\N,2026-08-18 06:09:51.772749,2026-08-18 06:09:51.772749,\N
45,"{""en_US"": ""Manage Push and Pull inventory flows"", ""th_TH"": ""จัดการการไหลของสินค้าแบบผลักและแบบดึง""}",17,\N,1,2,\N,\N,2026-08-18 06:09:52.748993,2026-08-24 07:37:10.347505,\N
26,"{""en_US"": ""Invoicing"", ""th_TH"": ""ออกใบแจ้งหนี้""}",2,\N,1,1,\N,\N,2026-08-18 06:09:44.73875,2026-08-24 09:09:26.745978,\N
60,"{""en_US"": ""Discount on lines"", ""th_TH"": ""ส่วนลดทางรายการ""}",17,\N,1,1,\N,\N,2026-08-18 06:10:14.380796,2026-08-24 09:09:32.257933,\N
54,"{""en_US"": ""Send an automatic reminder email to confirm delivery"", ""th_TH"": ""ส่งอีเมลแจ้งเตือนอัตโนมัติเพื่อยืนยันการจัดส่ง""}",17,\N,1,2,\N,\N,2026-08-18 06:10:03.281411,2026-08-24 09:52:17.043118,\N
21,"{""en_US"": ""User: Own Documents Only"", ""th_TH"": ""ผู้ใช้: เอกสารของตัวเองเท่านั้น""}",22,\N,1,1,"{""en_US"": ""the user will have access to his own data in the sales application."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงข้อมูลของตนเองในแอปพลิเคชันการขาย""}",\N,2026-08-18 06:09:35.776909,2026-08-18 06:09:35.776909,\N
22,"{""en_US"": ""User: All Documents"", ""th_TH"": ""ผู้ใช้: เอกสารทั้งหมด""}",22,\N,1,1,"{""en_US"": ""the user will have access to all records of everyone in the sales application."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงบันทึกทั้งหมดของทุกคนในแอปพลิเคชันการขาย""}",\N,2026-08-18 06:09:35.776909,2026-08-18 06:09:35.776909,\N
23,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",22,\N,1,1,"{""en_US"": ""the user will have an access to the sales configuration as well as statistic reports."", ""th_TH"": ""ผู้ใช้จะมีสิทธิ์เข้าถึงการกำหนดค่าการขายและรายงานสถิติ""}",\N,2026-08-18 06:09:35.776909,2026-08-18 06:09:35.776909,\N
75,"{""en_US"": ""Show Lead Menu"", ""th_TH"": ""แสดงเมนูลูกค้าเป้าหมาย""}",17,\N,1,1,\N,\N,2026-08-18 09:27:38.891832,2026-08-18 09:27:38.891832,\N
76,"{""en_US"": ""Show Recurring Revenues Menu"", ""th_TH"": ""แสดงเมนูรายได้ประจำ""}",17,\N,1,1,\N,\N,2026-08-18 09:27:38.891832,2026-08-18 09:27:38.891832,\N
79,"{""en_US"": ""System Administrator""}",38,\N,1,1,\N,\N,2026-08-18 09:27:43.25143,2026-08-18 09:27:43.25143,\N
78,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",38,\N,1,1,\N,\N,2026-08-18 09:27:43.25143,2026-08-18 09:27:43.25143,\N
77,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",38,\N,1,1,\N,\N,2026-08-18 09:27:43.25143,2026-08-18 09:27:43.25143,\N
39,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",100,\N,1,1,\N,\N,2026-08-18 06:09:52.748993,2026-08-18 09:30:32.966834,\N
101,"{""en_US"": ""Use Reception Report with Manufacturing Orders"", ""th_TH"": ""ใช้รายงานการรับสินค้ากับใบสั่งผลิต""}",17,\N,1,1,\N,\N,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
102,"{""en_US"": ""Use Operation Dependencies"", ""th_TH"": ""ใช้การพึ่งพาการดำเนินการ""}",17,\N,1,1,\N,\N,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
104,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",103,\N,1,1,"{""en_US"": ""The quality manager manages the quality process"", ""th_TH"": ""ผู้จัดการคุณภาพจะจัดการขั้นตอนการตรวจสอบคุณภาพ""}",\N,2026-08-18 09:30:32.966834,2026-08-18 09:30:32.966834,\N
103,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",103,\N,1,1,"{""en_US"": ""The quality user uses the quality process"", ""th_TH"": ""ผู้ใช้ที่มีคุณภาพจะใช้กระบวนการที่มีคุณภาพ""}",\N,2026-08-18 09:30:32.966834,2026-08-18 09:30:32.966834,\N
107,"{""en_US"": ""Equipment Manager"", ""th_TH"": ""ผู้จัดการอุปกรณ์""}",94,\N,1,1,"{""en_US"": ""The user will be able to manage equipment."", ""th_TH"": ""ผู้ใช้จะสามารถจัดการอุปกรณ์ได้""}",\N,2026-08-18 09:31:18.633018,2026-08-18 09:31:18.633018,\N
86,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",48,\N,1,1,"{""en_US"": ""The user will have access to the human resources configuration as well as statistic reports."", ""th_TH"": ""ผู้ใช้จะมีสิทธิ์เข้าถึงการกำหนดค่าทรัพยากรบุคคลและรายงานสถิติ""}",\N,2026-08-18 09:27:52.147972,2026-08-18 10:07:08.477312,\N
85,"{""en_US"": ""Officer: Manage all employees"", ""th_TH"": ""เจ้าหน้าที่: จัดการพนักงานทั้งหมด""}",48,\N,1,1,"{""en_US"": ""The user will be able to approve document created by employees."", ""th_TH"": ""ผู้ใช้จะสามารถอนุมัติเอกสารที่สร้างโดยพนักงานได้""}",\N,2026-08-18 09:27:52.147972,2026-08-18 10:07:29.364135,\N
112,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",43,\N,1,1,\N,\N,2026-08-19 03:47:00.711418,2026-08-19 03:47:00.711418,\N
111,"{""en_US"": ""Officer: Manage all vehicles"", ""th_TH"": ""เจ้าหน้าที่: จัดการยานพาหนะทั้งหมด""}",43,\N,1,1,\N,\N,2026-08-19 03:47:00.711418,2026-08-19 03:47:00.711418,\N
105,"{""en_US"": ""Manage Work Order timer on Shop Floor"", ""th_TH"": ""จัดการตัวจับเวลาการสั่งงานบนพื้นที่ร้านค้า""}",17,\N,1,1,\N,\N,2026-08-18 09:30:37.822729,2026-08-18 10:07:40.161952,\N
94,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",63,\N,1,1,\N,\N,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
95,"{""en_US"": ""Create new quotations directly from the tasks"", ""th_TH"": ""สร้างใบเสนอราคาใหม่ได้โดยตรงจากงาน""}",17,\N,1,1,\N,\N,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
106,"{""en_US"": ""Manage your manufacturing orders from the shop floor display app"", ""th_TH"": ""จัดการคำสั่งซื้อการผลิตของคุณจากแอปแสดงพื้นที่ร้านค้า""}",17,\N,1,2,\N,\N,2026-08-18 09:30:37.822729,2026-08-18 10:24:25.003923,\N
113,"{""en_US"": ""Show Analysis of transportation costs.""}",17,\N,1,1,\N,\N,2026-08-19 03:47:16.063585,2026-08-19 03:47:16.063585,\N
114,"{""en_US"": ""Employee Manager"", ""th_TH"": ""ผู้จัดการพนักงาน""}",51,\N,1,1,\N,\N,2026-08-19 04:27:11.75436,2026-08-19 04:27:11.75436,\N
115,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",51,\N,1,1,\N,\N,2026-08-19 04:27:11.75436,2026-08-19 04:27:25.208935,\N
118,"{""en_US"": ""Display payslip PDF"", ""th_TH"": ""แสดงสลิปเงินเดือน PDF""}",17,\N,1,1,\N,\N,2026-08-19 04:27:31.195161,2026-08-19 04:27:31.195161,\N
11,"{""en_US"": ""Public"", ""th_TH"": ""สาธารณะ""}",158,\N,1,1,"{""en_US"": ""Public users have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups."", ""th_TH"": ""ผู้ใช้สาธารณะมีสิทธิ์การเข้าถึงเฉพาะ (เช่น กฎการบันทึกและเมนูที่จำกัด)\\n               โดยปกติแล้วพวกเขาจะไม่ได้อยู่ในกลุ่ม Odoo ปกติ""}",\N,2026-08-18 06:08:59.75533,2026-08-29 08:42:58.061279,\N
116,"{""en_US"": ""Officer: Manage all contracts"", ""th_TH"": ""เจ้าหน้าที่ : จัดการสัญญาทั้งหมด""}",39,\N,1,1,"{""en_US"": ""User can manage all contracts, work entries and create payslips."", ""th_TH"": ""ผู้ใช้สามารถจัดการสัญญา รายการงาน และสร้างสลิปเงินเดือนทั้งหมดได้""}",\N,2026-08-19 04:27:31.195161,2026-08-19 04:27:31.195161,\N
117,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",39,\N,1,1,"{""en_US"": ""User have full access on the application."", ""th_TH"": ""ผู้ใช้สามารถเข้าถึงแอปพลิเคชันได้อย่างสมบูรณ์""}",\N,2026-08-19 04:27:31.195161,2026-08-19 04:27:31.195161,\N
6,"{""en_US"": ""Multi Currencies"", ""th_TH"": ""หลายสกุลเงิน""}",161,\N,1,2,\N,\N,2026-08-18 06:08:59.75533,2026-08-24 04:42:55.812009,\N
1,"{""en_US"": ""Internal User"", ""th_TH"": ""ผู้ใช้งาน""}",158,\N,\N,1,\N,\N,\N,2026-08-29 08:41:42.09924,90
129,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",56,\N,1,1,\N,\N,2026-08-29 08:41:42.09924,2026-08-29 08:41:42.09924,\N
130,"{""en_US"": ""Display CV on application form"", ""th_TH"": ""แสดง CV ในแบบฟอร์มใบสมัคร""}",17,\N,1,1,\N,\N,2026-08-29 08:41:42.09924,2026-08-29 08:41:42.09924,\N
37,"{""en_US"": ""Manage Multiple Stock Locations"", ""th_TH"": ""จัดการสต็อกสินค้าหลายแห่ง""}",17,\N,1,2,\N,\N,2026-08-18 06:09:52.748993,2026-08-24 07:37:10.347505,\N
123,"{""en_US"": ""Fixed Discount""}",\N,\N,1,1,\N,\N,2026-08-24 09:09:26.745978,2026-08-24 09:09:26.745978,\N
120,"{""en_US"": ""SCGL Multi Approval User""}",\N,\N,1,1,\N,\N,2026-08-24 04:41:10.823317,2026-08-25 03:31:25.874891,\N
121,"{""en_US"": ""SCGL Multi Approval Manager""}",\N,\N,1,1,\N,\N,2026-08-24 04:41:10.823317,2026-08-25 03:31:25.874891,\N
122,"{""en_US"": ""SCGL Multi Approval Auditor""}",\N,\N,1,1,\N,\N,2026-08-24 04:41:10.823317,2026-08-25 03:31:25.874891,\N
124,"{""en_US"": ""Allow Product Equipment Stock""}",\N,\N,1,1,\N,\N,2026-08-25 04:02:21.884257,2026-08-25 04:02:21.884257,\N
10,"{""en_US"": ""Portal"", ""th_TH"": ""พอร์ทัล""}",158,\N,1,1,"{""en_US"": ""Portal members have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups."", ""th_TH"": ""สมาชิกพอร์ทัลมีสิทธิ์การเข้าถึงเฉพาะ (เช่น กฎการบันทึกและเมนูที่จำกัด)\\n                โดยปกติแล้วพวกเขาจะไม่ได้อยู่ในกลุ่ม Odoo ปกติ""}",\N,2026-08-18 06:08:59.75533,2026-08-29 08:42:58.061279,\N
131,"{""en_US"": ""Restricted Editor"", ""th_TH"": ""ผู้แก้ไขที่ถูกจำกัด""}",31,\N,1,1,\N,\N,2026-08-29 08:42:58.061279,2026-08-29 08:42:58.061279,\N
132,"{""en_US"": ""Editor and Designer"", ""th_TH"": ""แก้ไขและออกแบบ""}",31,\N,1,1,\N,\N,2026-08-29 08:42:58.061279,2026-08-29 08:42:58.061279,\N
133,"{""en_US"": ""Public access to arbitrary exposed model"", ""th_TH"": ""การเข้าถึงแบบสาธารณะสำหรับโมเดลที่ถูกเปิดเผยโดยพลการ""}",17,\N,1,1,\N,\N,2026-08-29 08:42:58.061279,2026-08-29 08:42:58.061279,\N
134,"{""en_US"": ""Multi-website"", ""th_TH"": ""หลายเมนู""}",17,\N,1,1,\N,\N,2026-08-29 08:42:58.061279,2026-08-29 08:42:58.061279,\N
128,"{""en_US"": ""Officer: Manage all applicants"", ""th_TH"": ""เจ้าหน้าที่: จัดการผู้สมัครทั้งหมด""}",56,\N,1,1,\N,\N,2026-08-29 08:41:42.09924,2026-08-29 08:43:38.161806,\N
127,"{""en_US"": ""Interviewer"", ""th_TH"": ""ผู้สัมภาษณ์""}",56,\N,1,1,\N,\N,2026-08-29 08:41:42.09924,2026-08-29 08:43:42.157975,\N
136,"{""en_US"": ""Referral Reward Responsible User"", ""th_TH"": ""ผู้ใช้ที่รับผิดชอบรางวัลการแนะนำ""}",17,\N,1,1,\N,\N,2026-08-29 08:43:42.157975,2026-08-29 08:43:42.157975,\N
135,"{""en_US"": ""User: Referral only"", ""th_TH"": ""ผู้ใช้: การแนะนำเท่านั้น""}",56,\N,1,1,\N,\N,2026-08-29 08:43:42.157975,2026-08-29 08:43:42.157975,\N
138,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",12,\N,1,1,\N,\N,2026-08-29 09:00:21.746077,2026-08-29 09:00:21.746077,\N
125,"{""en_US"": ""Purchase Request User""}",171,\N,1,1,\N,\N,2026-08-25 06:48:23.411124,2026-08-25 15:26:01.599541,\N
126,"{""en_US"": ""Purchase Request Manager""}",171,\N,1,1,\N,\N,2026-08-25 06:48:23.411124,2026-08-25 15:26:01.599541,\N
137,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",12,\N,1,1,\N,\N,2026-08-29 09:00:21.746077,2026-08-29 09:00:21.746077,\N
119,"{""en_US"": ""SCGL Dashboard Manager""}",169,\N,1,1,\N,\N,2026-08-24 03:10:40.764413,2026-08-26 06:09:53.953418,\N
140,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",61,\N,1,1,"{""en_US"": ""The user will be able to delete support channels."", ""th_TH"": ""ผู้ใช้จะสามารถลบช่องทางการช่วยเหลือได้""}",\N,2026-08-29 09:00:25.750857,2026-08-29 09:00:25.750857,\N
139,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",61,\N,1,1,"{""en_US"": ""The user will be able to join support channels."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าร่วมช่องทางการช่วยเหลือได้""}",\N,2026-08-29 09:00:25.750857,2026-08-29 09:00:25.750857,\N
