id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
307,10,306,1,1,273/291/306/307/,\N,"ir.actions.act_window,78","{""en_US"": ""Units of Measure"", ""th_TH"": ""หน่วยวัด""}",t,2026-08-18 06:10:14.380796,2026-08-18 06:10:19.848044,\N
308,20,306,1,1,273/291/306/308/,\N,"ir.actions.act_window,79","{""en_US"": ""Units of Measure Categories"", ""th_TH"": ""หมวดหมู่ของหน่วยวัด""}",t,2026-08-18 06:10:14.380796,2026-08-18 06:10:19.848044,\N
309,55,291,1,1,273/291/309/,\N,\N,"{""en_US"": ""Activities"", ""th_TH"": ""กิจกรรม""}",t,2026-08-18 06:10:14.380796,2026-08-18 06:10:19.848044,\N
310,10,309,1,1,273/291/309/310/,\N,"ir.actions.act_window,496","{""en_US"": ""Activity Types"", ""th_TH"": ""ประเภทกิจกรรม""}",t,2026-08-18 06:10:14.380796,2026-08-18 06:10:19.848044,\N
311,20,309,1,1,273/291/309/311/,\N,"ir.actions.act_window,497","{""en_US"": ""Activity Plans"", ""th_TH"": ""แผนกิจกรรม""}",t,2026-08-18 06:10:14.380796,2026-08-18 06:10:19.848044,\N
312,1,294,1,1,273/291/294/312/,\N,"ir.actions.act_window,501","{""en_US"": ""Quotation Templates"", ""th_TH"": ""เทมเพลตใบเสนอราคา""}",t,2026-08-18 06:10:19.848044,2026-08-18 06:10:19.848044,\N
420,90,\N,1,1,420/,"helpdesk,static/description/icon.png",\N,"{""en_US"": ""Helpdesk"", ""th_TH"": ""ดูแลช่วยเหลือ""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
430,0,429,1,1,420/429/430/,\N,"ir.actions.act_window,703","{""en_US"": ""Helpdesk Teams"", ""th_TH"": ""ทีมดูแลช่วยเหลือ""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
423,10,422,1,1,420/422/423/,\N,"ir.actions.act_window,677","{""en_US"": ""My Tickets"", ""th_TH"": ""ทิกเก็ตของฉัน""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
421,5,420,1,1,420/421/,\N,"ir.actions.act_window,704","{""en_US"": ""Overview"", ""th_TH"": ""ภาพรวม""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
425,20,420,1,1,420/425/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
432,7,429,1,1,420/429/432/,\N,"ir.actions.act_window,700","{""en_US"": ""SLA Policies"", ""th_TH"": ""นโยบาย SLA""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
427,20,425,1,1,420/425/427/,\N,"ir.actions.act_window,694","{""en_US"": ""SLA Status Analysis"", ""th_TH"": ""การวิเคราะห์สถานะ SLA""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
431,3,429,1,1,420/429/431/,\N,"ir.actions.act_window,698","{""en_US"": ""Stages"", ""th_TH"": ""สถานะ""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
433,15,429,1,1,420/429/433/,\N,"ir.actions.act_window,696","{""en_US"": ""Tags"", ""th_TH"": ""แท็ก""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
422,10,420,1,1,420/422/,\N,\N,"{""en_US"": ""Tickets"", ""th_TH"": ""ทิกเก็ต""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
426,10,425,1,1,420/425/426/,\N,"ir.actions.act_window,690","{""en_US"": ""Tickets Analysis"", ""th_TH"": ""การวิเคราะห์ทิกเก็ต""}",t,2026-08-18 09:27:47.254749,2026-08-18 09:27:47.254749,\N
548,100,538,1,1,533/538/548/,\N,"ir.actions.act_window,936","{""en_US"": ""Operations"", ""th_TH"": ""การปฏิบัติการ""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
543,12,537,1,1,533/537/543/,\N,"ir.actions.act_window,917","{""en_US"": ""Overall Equipment Effectiveness"", ""th_TH"": ""ประสิทธิภาพของอุปกรณ์โดยรวม""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
