id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1015,494,71,1,1,account.bank.statement.line,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1016,407,71,1,1,product.product,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1017,406,71,1,1,product.template pos user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1018,494,72,1,1,account.bank.statement.line manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1019,418,71,1,1,product.supplierinfo user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1020,681,72,1,1,stock.warehouse manager,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1021,669,72,1,1,stock.location manager,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1022,416,72,1,1,product.pricelist manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1023,416,71,1,1,product.pricelist user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1024,928,71,1,1,pos.session user,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1025,924,71,1,1,pos.config user,t,t,t,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1026,924,4,1,1,pos.config system,t,t,t,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1027,924,72,1,1,pos.config manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1028,922,72,1,1,pos.category manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1029,922,1,1,1,pos.category user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1030,665,71,1,1,barcode.nomenclature.pos.user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1031,665,72,1,1,barcode.nomenclature.pos.manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1032,666,71,1,1,barcode.rule.pos.user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1033,666,72,1,1,barcode.rule.pos.manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1034,114,71,1,1,decimal.precision,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1035,930,71,1,1,pos.payment user,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1036,931,71,1,1,pos.payment.method user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1037,931,72,1,1,pos.payment.method manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1038,413,71,1,1,product.combo user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1039,414,71,1,1,product.combo.item user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1040,938,72,1,1,access.pos.details.wizard,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
