id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
1317,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Spreadsheet Test, mainly to test the mixin behavior""}",test_spreadsheet,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Spreadsheet Test""}",11,"{""en_US"": ""This module contains tests related to spreadsheet.\\n    The modules exposes some mixin that are only implemented in other functional modules.\\n    When trying to test a global behavior of the mixin, it makes no sense to test it in\\n    each module implementing the mixin but rather test a dummy implementation of the later,\\n    hence the need for this test module.\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
415,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_bg_reports,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Bulgaria - Accounting Reports""}",74,"{""en_US"": ""\\nBase module for Bulgarian reports\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
869,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_zm_account,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Zambia - Accounting""}",72,"{""en_US"": ""\\nThis is the basic Zambian localization necessary to run Odoo in ZM:\\n================================================================================\\n    - Chart of Accounts\\n    - Taxes\\n    - Fiscal Positions\\n    - Default Settings\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
1326,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Web studio Test""}",test_web_studio,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Web Studio Tests""}",11,"{""en_US"": ""This module contains tests related to web studio. Those are\\npresent in a separate module as it contains models used only to perform\\ntests independently to functional aspects of other models. ""}",f,f,f,OEEL-1,9876,f,f,\N,\N,\N,\N,,,,official,\N
1382,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Basic 2D Grid view for odoo""}",web_grid,Odoo S.A.,/base/static/description/icon.png,installed,19.0.0.1,"{""en_US"": ""Grid View""}",11,"{""en_US"": """"}",f,f,f,OEEL-1,100,t,f,\N,\N,,\N,,,,official,\N
1383,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",web_hierarchy,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Web Hierarchy""}",11,"{""en_US"": ""\\nOdoo Web Hierarchy view\\n=======================\\n\\nThis module adds a new view called to be able to define a view to display\\nan organization such as an Organization Chart for employees for instance.\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,,official,\N
1384,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Defines the map view for odoo enterprise""}",web_map,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Map View""}",11,"{""en_US"": ""Allows the viewing of records on a map""}",f,f,f,OEEL-1,100,t,f,\N,\N,,\N,,,* INHERIT res.config.settings.view.form.inherit.map (form)\n* INHERIT res.partner.form.inherit.map (form)\n* INHERIT res.partner.search.inherit.map (search),official,\N
32,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",account_edi_proxy_client,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Proxy features for account_edi""}",3,"{""en_US"": ""\\nThis module adds generic features to register an Odoo DB on the proxy responsible for receiving data (via requests from web-services).\\n- An edi_proxy_user has a unique identification on a specific proxy type (e.g. l10n_it_edi, peppol) which\\nallows to identify him when receiving a document addressed to him. It is linked to a specific company on a specific\\nOdoo database.\\n- Encryption features allows to decrypt all the user's data when receiving it from the proxy.\\n- Authentication offers an additionnal level of security to avoid impersonification, in case someone gains to the user's database.\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
490,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_din5008_industry_fsm,Odoo SA,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""DIN 5008 - Field Service""}",71,"{""en_US"": """"}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
41,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",account_intrastat,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Intrastat Reports""}",3,"{""en_US"": ""\\nIntrastat Reports\\n==================\\n""}",f,f,f,OEEL-1,100,f,f,\N,\N,\N,\N,,,,official,\N
