id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
122,502,1,1,Report External Value multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:07.882243,2026-03-18 05:04:07.882243
123,93,1,1,Billing: Allow accessing employee bank accounts,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:07.882243,2026-03-18 05:04:07.882243
125,522,1,1,Dashboard multi-company,"[('company_ids', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:04:17.892116,2026-03-29 06:23:02.264041
126,522,1,1,Spreadsheet dashboard: manager,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:17.892116,2026-03-29 06:23:02.264041
127,523,1,1,spreadsheet.dashboard.share: create uid,"[('create_uid', '=', user.id)]",t,t,t,t,t,f,2026-03-18 05:04:17.892116,2026-03-29 06:23:02.264041
128,459,1,1,Access every token,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:23.216988,2026-03-18 05:04:23.216988
130,546,1,1,Account online link company rule,"[('company_id', 'parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:25.828127,2026-03-18 05:04:25.828127
131,545,1,1,Online account company rule,"[('account_online_link_id.company_id','parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:25.828127,2026-03-18 05:04:25.828127
129,526,1,1,Spreadsheet dashboard threads: groups,"['&', ('dashboard_id' ,'!=', False), ('dashboard_id.group_ids', 'in', user.all_group_ids.ids)]",t,t,t,t,t,f,2026-03-18 05:04:25.315763,2026-03-29 06:24:45.022884
135,594,1,1,Sales Order multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
136,595,1,1,Sales Order Line multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
137,596,1,1,Sales Order Analysis multi-company,"[('company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
138,594,1,1,Portal Personal Quotations/Sales Orders,"[('partner_id','child_of',[user.commercial_partner_id.id])]",t,t,t,f,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
139,595,1,1,Portal Sales Orders Line,"[('order_id.partner_id','child_of',[user.commercial_partner_id.id])]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
140,594,1,1,Personal Orders,"['|',('user_id','=',user.id),('user_id','=',False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
141,594,1,1,All Orders,"[(1,'=',1)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
142,596,1,1,Personal Orders Analysis,"['|',('user_id','=',user.id),('user_id','=',False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
143,596,1,1,All Orders Analysis,"[(1,'=',1)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
144,595,1,1,Personal Order Lines,"['|',('salesman_id','=',user.id),('salesman_id','=',False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
145,595,1,1,All Orders Lines,"[(1,'=',1)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
146,517,1,1,Personal Invoices Analysis,"['|', ('invoice_user_id', '=', user.id), ('invoice_user_id', '=', False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
147,517,1,1,All Invoices Analysis,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
148,460,1,1,Access every payment transaction,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
149,459,1,1,Access every payment token,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
132,553,1,1,Account Returns multi-company,"[('company_ids', 'in', company_ids)]",t,t,f,f,f,t,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
133,553,1,1,Account Returns multi-company,"['|', ('tax_unit_id.main_company_id', 'in', company_ids), ('company_id', 'in', company_ids)]",t,f,t,t,t,t,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
134,554,1,1,Account Returns Check multi-company,"['|', ('return_id.tax_unit_id.main_company_id', 'in', company_ids), ('return_id.company_id', 'in', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:27.13783,2026-03-29 06:24:47.586321
124,522,1,1,Spreadsheet dashboard: groups,"[('group_ids', 'in', user.all_group_ids.ids)]",t,t,t,t,t,f,2026-03-18 05:04:17.892116,2026-03-29 06:23:02.264041
150,466,1,1,Personal Invoices,"[('move_type', 'in', ('out_invoice', 'out_refund')), '|', ('invoice_user_id', '=', user.id), ('invoice_user_id', '=', False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
151,466,1,1,All Invoices,"[('move_type', 'in', ('out_invoice', 'out_refund'))]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
152,486,1,1,Personal Invoice Lines,"[('move_id.move_type', 'in', ('out_invoice', 'out_refund')), '|', ('move_id.invoice_user_id', '=', user.id), ('move_id.invoice_user_id', '=', False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
153,486,1,1,All Invoice Lines,"[('move_id.move_type', 'in', ('out_invoice', 'out_refund'))]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
154,511,1,1,Personal Invoice Send and Print (single mode),"[('move_id.move_type', 'in', ('out_invoice', 'out_refund')), '|', ('move_id.invoice_user_id', '=', user.id), ('move_id.invoice_user_id', '=', False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
155,512,1,1,Personal Invoice Send and Print (batch mode),"[('move_ids.move_type', 'in', ('out_invoice', 'out_refund')), '|', ('move_ids.invoice_user_id', '=', user.id), ('move_ids.invoice_user_id', '=', False)]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
156,511,1,1,All Invoice Send and Print (single mode),"[('move_id.move_type', 'in', ('out_invoice', 'out_refund'))]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
157,512,1,1,All Invoice Send and Print (batch mode),"[('move_ids.move_type', 'in', ('out_invoice', 'out_refund'))]",t,t,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
158,599,1,1,Sales Advance Payment Invoice Rule,"[('create_uid', '=', user.id)]",t,t,t,t,t,t,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
159,597,1,1,Sales Mass Cancel Orders: access only your own wizard,"[('create_uid', '=', user.id)]",t,t,t,t,t,t,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
160,184,1,1,Manager can manage sale order plans,"[('res_model', '=', 'sale.order')]",t,f,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
161,185,1,1,Manager can manage sale order plan templates,"[('plan_id.res_model', '=', 'sale.order')]",t,f,t,t,t,f,2026-03-18 05:04:33.38448,2026-03-18 05:04:33.38448
162,602,1,1,Account fiscal categories multi-country,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:04:37.425322,2026-03-18 05:04:37.425322
163,604,1,1,Account Follow-up multi company rule,"['|',('company_id','=',False),('company_id', 'parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:04:37.883567,2026-03-18 05:04:37.883567
164,446,1,1,SMS Template: account manager CUD on partner templates,"[('model_id.model', '=', 'res.partner')]",t,f,t,t,t,f,2026-03-18 05:04:37.883567,2026-03-18 05:04:37.883567
