menu_id	depth	is_leaf	children	opens	path
374	2	0	1		Maintenance / Reporting
373	3	1	0		Maintenance / Reporting / Losses Analysis
375	3	1	0	ir.actions.act_window,590	Maintenance / Reporting / Maintenance Requests Analysis
372	3	1	0		Maintenance / Reporting / Overall Equipment Effectiveness (OEE)
382	1	0	5		Manufacturing
387	2	0	3		Manufacturing / Configuration
397	3	1	0	ir.actions.act_window,643	Manufacturing / Configuration / Operations
402	3	1	0	ir.actions.act_window,650	Manufacturing / Configuration / Settings
391	3	1	0	ir.actions.act_window,622	Manufacturing / Configuration / Work Centers
383	2	0	4		Manufacturing / Operations
394	3	1	0	ir.actions.act_window,639	Manufacturing / Operations / Manufacturing Orders
389	3	1	0	ir.actions.act_window,516	Manufacturing / Operations / Scrap
401	3	1	0	ir.actions.act_window,649	Manufacturing / Operations / Unbuild Orders
395	3	1	0	ir.actions.act_window,613	Manufacturing / Operations / Work Orders
384	2	0	1		Manufacturing / Planning
390	3	1	0	ir.actions.server,479	Manufacturing / Planning / Procurement: run scheduler
385	2	0	4		Manufacturing / Products
393	3	1	0	ir.actions.act_window,626	Manufacturing / Products / Bills of Materials
388	3	1	0	ir.actions.act_window,514	Manufacturing / Products / Lots/Serial Numbers
399	3	1	0	ir.actions.act_window,645	Manufacturing / Products / Product Variants
398	3	1	0	ir.actions.act_window,644	Manufacturing / Products / Products
386	2	0	2		Manufacturing / Reporting
392	3	1	0	ir.actions.act_window,624	Manufacturing / Reporting / Overall Equipment Effectiveness
396	3	1	0	ir.actions.act_window,621	Manufacturing / Reporting / Work Orders
304	1	0	5		Project
313	2	0	9		Project / Configuration
322	3	1	0	ir.actions.act_window,465	Project / Configuration / Activity Plans
321	3	1	0	ir.actions.act_window,466	Project / Configuration / Activity Types
320	3	1	0	ir.actions.act_window,461	Project / Configuration / Project Roles
317	3	1	0	ir.actions.act_window,433	Project / Configuration / Project Stages
315	3	1	0	ir.actions.act_window,444	Project / Configuration / Projects
316	3	1	0	ir.actions.act_window,443	Project / Configuration / Projects
314	3	1	0	ir.actions.act_window,464	Project / Configuration / Settings
319	3	1	0	ir.actions.act_window,462	Project / Configuration / Tags
318	3	1	0	ir.actions.act_window,436	Project / Configuration / Task Stages
305	2	1	0	ir.actions.act_window,441	Project / Projects
306	2	1	0	ir.actions.act_window,442	Project / Projects
310	2	0	2		Project / Reporting
312	3	1	0	ir.actions.act_window,431	Project / Reporting / Customer Ratings
311	3	1	0	ir.actions.act_window,471	Project / Reporting / Tasks Analysis
307	2	0	2		Project / Tasks
309	3	1	0	ir.actions.act_window,452	Project / Tasks / All Tasks
308	3	1	0	ir.actions.act_window,451	Project / Tasks / My Tasks
403	1	0	4		Purchase
406	2	0	3		Purchase / Configuration
408	3	0	3		Purchase / Configuration / Products
409	4	1	0	ir.actions.act_window,188	Purchase / Configuration / Products / Attributes
410	4	1	0	ir.actions.act_window,189	Purchase / Configuration / Products / Categories
411	4	1	0	ir.actions.act_window,90	Purchase / Configuration / Products / Units & Packagings
417	3	1	0	ir.actions.act_window,673	Purchase / Configuration / Settings
407	3	1	0	ir.actions.act_window,193	Purchase / Configuration / Vendor Pricelists
404	2	0	4		Purchase / Orders
693	3	1	0	ir.actions.act_window,1068	Purchase / Orders / Purchase Agreements
416	3	1	0	ir.actions.act_window,665	Purchase / Orders / Purchase Orders
415	3	1	0	ir.actions.act_window,664	Purchase / Orders / Requests for Quotation
405	3	1	0	ir.actions.act_window,306	Purchase / Orders / Vendors
412	2	0	2		Purchase / Products
414	3	1	0	ir.actions.act_window,663	Purchase / Products / Product Variants
413	3	1	0	ir.actions.act_window,662	Purchase / Products / Products
418	2	0	1		Purchase / Reporting
419	3	1	0	ir.actions.act_window,676	Purchase / Reporting / Purchase
607	1	0	3		Recruitment
608	2	0	4		Recruitment / Applications
612	3	1	0	ir.actions.act_window,932	Recruitment / Applications / All Applications
609	3	1	0	ir.actions.act_window,946	Recruitment / Applications / By Job Positions
610	3	1	0	ir.actions.act_window,947	Recruitment / Applications / By Job Positions
611	3	1	0	ir.actions.act_window,939	Recruitment / Applications / By Talent Pools
615	2	0	8		Recruitment / Configuration
629	3	0	2		Recruitment / Configuration / Activities
631	4	1	0	ir.actions.act_window,950	Recruitment / Configuration / Activities / Activity Plans
630	4	1	0	ir.actions.act_window,949	Recruitment / Configuration / Activities / Activity Types
623	3	0	3		Recruitment / Configuration / Applications
624	4	1	0	ir.actions.act_window,923	Recruitment / Configuration / Applications / Degrees
625	4	1	0	ir.actions.act_window,928	Recruitment / Configuration / Applications / Refuse Reasons
626	4	1	0	ir.actions.act_window,927	Recruitment / Configuration / Applications / Tags
627	3	0	2		Recruitment / Configuration / Employees
628	4	1	0	ir.actions.act_window,941	Recruitment / Configuration / Employees / Departments
644	4	1	0	ir.actions.act_window,851	Recruitment / Configuration / Employees / Skill Types
645	3	1	0	ir.actions.act_window,992	Recruitment / Configuration / Interviews
632	3	0	1		Recruitment / Configuration / Job Boards
633	4	1	0	ir.actions.act_window,948	Recruitment / Configuration / Job Boards / Emails
617	3	0	2		Recruitment / Configuration / Job Positions
619	4	1	0	ir.actions.act_window,811	Recruitment / Configuration / Job Positions / Employment Types
618	4	1	0	ir.actions.act_window,926	Recruitment / Configuration / Job Positions / Stages
616	3	1	0	ir.actions.act_window,940	Recruitment / Configuration / Settings
620	3	0	2		Recruitment / Configuration / UTMs
622	4	1	0	ir.actions.act_window,101	Recruitment / Configuration / UTMs / Mediums
621	4	1	0	ir.actions.act_window,102	Recruitment / Configuration / UTMs / Sources
613	2	0	1		Recruitment / Reporting
614	3	1	0	ir.actions.act_window,934	Recruitment / Reporting / Recruitment Analysis
420	1	0	3		Repairs
424	2	0	3		Repairs / Configuration
