id,name,sequence,privilege_id,create_uid,write_uid,comment,share,create_date,write_date,api_key_duration
94,"{""en_US"": ""Use Task Dependencies"", ""th_TH"": ""ใช้การขึ้นต่อกันของงาน""}",\N,\N,1,1,\N,\N,2026-02-04 07:31:27.821472,2026-02-04 07:31:27.821472,\N
90,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,20,1,1,"{""en_US"": ""User can user the your employees' schedule""}",\N,2026-02-04 07:31:27.821472,2026-02-04 07:31:27.821472,\N
171,"{""en_US"": ""Comparison Price"", ""th_TH"": ""เปรียบเทียบราคา""}",\N,\N,1,1,\N,\N,2026-02-13 04:27:01.686903,2026-02-13 04:27:01.686903,\N
170,"{""en_US"": ""UOM Price Display for eCommerce"", ""th_TH"": ""การแสดงราคา UOM สำหรับอีคอมเมิร์ซ""}",\N,\N,1,1,\N,\N,2026-02-13 04:27:01.686903,2026-02-13 04:27:01.686903,\N
126,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,30,1,1,"{""en_US"": ""Manage the manufacturing processes and generate reports on those processes.""}",\N,2026-02-09 14:35:02.228005,2026-02-09 14:35:02.228005,\N
127,"{""en_US"": ""Manage Work Order Operations"", ""th_TH"": ""จัดการการปฏิบัติการคำสั่งงาน""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:02.228005,2026-02-09 14:35:02.228005,\N
128,"{""en_US"": ""Produce residual products"", ""th_TH"": ""ผลิตสินค้าตกค้าง""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:02.228005,2026-02-09 14:35:02.228005,\N
129,"{""en_US"": ""Unlocked by default"", ""th_TH"": ""ปลดล็อกโดยค่าเริ่มต้น""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:02.228005,2026-02-09 14:35:02.228005,\N
131,"{""en_US"": ""Use Operation Dependencies"", ""th_TH"": ""ใช้การพึ่งพาการดำเนินการ""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:02.228005,2026-02-09 14:35:02.228005,\N
130,"{""en_US"": ""Use Reception Report with Manufacturing Orders"", ""th_TH"": ""ใช้รายงานการรับสินค้ากับใบสั่งผลิต""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:02.228005,2026-02-09 14:35:02.228005,\N
125,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,30,1,1,\N,\N,2026-02-09 14:35:02.228005,2026-03-14 03:27:43.540255,\N
65,"{""en_US"": ""Officer: Manage all employees"", ""th_TH"": ""เจ้าหน้าที่: จัดการพนักงานทั้งหมด""}",10,13,1,1,"{""en_US"": ""The user will be able to create and edit employees.""}",\N,2026-02-02 12:50:21.558669,2026-02-02 12:50:30.426547,\N
110,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",30,25,1,1,\N,\N,2026-02-09 14:31:45.920621,2026-02-09 14:31:45.920621,\N
109,"{""en_US"": ""User: all timesheets"", ""th_TH"": ""ผู้ใช้: ใบบันทึกเวลาทั้งหมด""}",20,25,1,1,\N,\N,2026-02-09 14:31:45.920621,2026-02-09 14:31:45.920621,\N
108,"{""en_US"": ""User: own timesheets only"", ""th_TH"": ""ผู้ใช้: ใบบันทึกเวลาที่เป็นเจ้าของเท่านั้น""}",10,25,1,1,\N,\N,2026-02-09 14:31:45.920621,2026-02-09 14:31:45.920621,\N
80,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",30,16,1,1,\N,\N,2026-02-02 12:51:15.626366,2026-02-02 12:51:15.626366,\N
79,"{""en_US"": ""All Approver"", ""th_TH"": ""ผู้อนุมัติทั้งหมด""}",20,16,1,1,\N,\N,2026-02-02 12:51:15.626366,2026-02-02 12:51:15.626366,\N
78,"{""en_US"": ""Team Approver"", ""th_TH"": ""ผู้อนุมัติทีม""}",10,16,1,1,\N,\N,2026-02-02 12:51:15.626366,2026-02-02 12:51:15.626366,\N
137,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,32,1,1,"{""en_US"": ""Can configure folders, manage access rights, and oversee all documents within their areas.""}",\N,2026-02-09 14:37:37.06107,2026-03-13 18:56:10.861417,\N
136,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,32,1,1,"{""en_US"": ""Can view or edit, upload, and share their own or shared documents.""}",\N,2026-02-09 14:37:37.06107,2026-03-13 18:56:10.861417,\N
149,"{""en_US"": ""Officer: Manage all requests"", ""th_TH"": ""เจ้าหน้าที่: จัดการคำขอทั้งหมด""}",10,37,1,1,\N,\N,2026-02-09 14:41:46.096702,2026-02-09 14:41:46.096702,\N
46,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,10,1,1,\N,\N,2026-02-02 12:48:32.885425,2026-05-16 10:02:09.834925,\N
106,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",30,24,1,1,\N,\N,2026-02-09 14:30:54.634164,2026-02-09 14:30:54.634164,\N
107,"{""en_US"": ""Display CV on application form"", ""th_TH"": ""แสดง CV ในแบบฟอร์มใบสมัคร""}",\N,\N,1,1,\N,\N,2026-02-09 14:30:54.634164,2026-02-09 14:30:54.634164,\N
148,"{""en_US"": ""Time Off Responsible"", ""th_TH"": ""ความรับผิดชอบการลา""}",\N,\N,1,644,\N,\N,2026-02-09 14:41:46.096702,2026-06-06 07:21:32.480359,\N
105,"{""en_US"": ""Officer: Manage all applicants"", ""th_TH"": ""เจ้าหน้าที่: จัดการผู้สมัครทั้งหมด""}",20,24,1,1,\N,\N,2026-02-09 14:30:54.634164,2026-02-09 14:45:21.22114,\N
87,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",\N,19,1,1,"{""en_US"": ""Full access to all ESG features including configuration rights.""}",\N,2026-02-02 12:52:19.254975,2026-02-02 12:52:19.254975,\N
86,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",\N,19,1,1,"{""en_US"": ""Access to ESG features including viewing data, reporting, and mapping emissions with emissions factors, but without configuration rights.""}",\N,2026-02-02 12:52:19.254975,2026-02-02 12:52:19.254975,\N
157,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,40,1,1,\N,\N,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898,\N
156,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,40,1,1,\N,\N,2026-02-09 14:44:22.325898,2026-02-09 14:44:22.325898,\N
59,"{""en_US"": ""Display Serial & Lot Number on Invoices"", ""th_TH"": ""แสดงหมายเลขซีเรียลและหมายเลขล็อตบนใบแจ้งหนี้""}",\N,\N,1,1,\N,\N,2026-02-02 12:48:42.758523,2026-02-02 12:48:42.758523,\N
85,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,18,1,1,\N,\N,2026-02-02 12:52:10.175496,2026-02-02 12:52:10.175496,\N
83,"{""en_US"": ""Manage template access"", ""th_TH"": ""จัดการการเข้าถึงเทมเพลต""}",\N,\N,1,1,\N,\N,2026-02-02 12:52:10.175496,2026-02-02 12:52:10.175496,\N
84,"{""en_US"": ""User: Own Templates"", ""th_TH"": ""ผู้ใช้: เทมเพลตของตัวเอง""}",10,18,1,1,\N,\N,2026-02-02 12:52:10.175496,2026-02-02 12:52:10.175496,\N
114,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,27,1,1,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726,\N
117,"{""en_US"": ""Auto Assigment"", ""th_TH"": ""การมอบหมายอัตโนมัติ""}",\N,\N,1,1,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726,\N
116,"{""en_US"": ""Show Customer Ratings"", ""th_TH"": ""แสดงการให้คะแนนของลูกค้า""}",\N,\N,1,1,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726,\N
115,"{""en_US"": ""Show SLA Policies"", ""th_TH"": ""แสดงนโยบาย SLA""}",\N,\N,1,1,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726,\N
113,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,27,1,1,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726,\N
121,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,28,1,1,\N,\N,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
101,"{""en_US"": ""Manager"", ""th_TH"": ""ผู้จัดการ""}",20,22,1,1,\N,\N,2026-02-09 14:29:24.308771,2026-02-09 14:29:24.308771,\N
100,"{""en_US"": ""Officer"", ""th_TH"": ""เจ้าหน้าที่""}",10,22,1,1,\N,\N,2026-02-09 14:29:24.308771,2026-02-09 14:29:24.308771,\N
143,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,35,1,1,\N,\N,2026-02-09 14:40:21.562716,2026-02-09 14:40:21.562716,\N
142,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,35,1,1,\N,\N,2026-02-09 14:40:21.562716,2026-02-09 14:40:21.562716,\N
122,"{""en_US"": ""Create new quotations directly from the tasks"", ""th_TH"": ""สร้างใบเสนอราคาใหม่ได้โดยตรงจากงาน""}",\N,\N,1,1,\N,\N,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
120,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,28,1,1,\N,\N,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323,\N
162,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,42,1,1,\N,\N,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725,\N
161,"{""en_US"": ""Officer: Access all appraisals"", ""th_TH"": ""เจ้าหน้าที่: เข้าถึงการประเมินทั้งหมด""}",10,42,1,1,\N,\N,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725,\N
152,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,38,1,1,\N,\N,2026-02-09 14:42:34.289973,2026-02-09 14:42:34.289973,\N
151,"{""en_US"": ""Officer: Manage all vehicles"", ""th_TH"": ""เจ้าหน้าที่: จัดการยานพาหนะทั้งหมด""}",10,38,1,1,\N,\N,2026-02-09 14:42:34.289973,2026-02-09 14:42:34.289973,\N
167,"{""en_US"": ""Manage Purchase Alternatives"", ""th_TH"": ""จัดการเปรียบเทียบทางเลือกในการซื้อ""}",\N,\N,1,1,\N,\N,2026-02-09 14:56:00.473829,2026-02-09 14:56:00.473829,\N
124,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,29,1,1,\N,\N,2026-02-09 14:34:20.865399,2026-02-09 14:34:20.865399,\N
123,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,29,1,1,\N,\N,2026-02-09 14:34:20.865399,2026-02-09 14:34:20.865399,\N
82,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,17,1,1,\N,\N,2026-02-02 12:52:07.809426,2026-02-02 12:52:07.809426,\N
81,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,17,1,1,\N,\N,2026-02-02 12:52:07.809426,2026-02-02 12:52:07.809426,\N
159,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",\N,41,1,1,\N,\N,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114,\N
160,"{""en_US"": ""Referral Reward Responsible User"", ""th_TH"": ""ผู้ใช้ที่รับผิดชอบรางวัลการแนะนำ""}",20,\N,1,1,\N,\N,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114,\N
158,"{""en_US"": ""User: Referral only"", ""th_TH"": ""ผู้ใช้: การแนะนำเท่านั้น""}",5,41,1,1,\N,\N,2026-02-09 14:45:21.22114,2026-02-09 14:45:21.22114,\N
147,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,36,1,1,\N,\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798,\N
166,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",\N,44,1,1,\N,\N,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867,\N
165,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",\N,44,1,1,\N,\N,2026-02-09 14:47:53.764867,2026-02-09 14:47:53.764867,\N
155,"{""en_US"": ""Display payslip PDF"", ""th_TH"": ""แสดงสลิปเงินเดือน PDF""}",\N,\N,1,1,\N,\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184,\N
118,"{""en_US"": ""Use Live Chat"", ""th_TH"": ""ใช้ไลฟ์แชท""}",\N,\N,1,1,\N,\N,2026-02-09 14:33:04.553818,2026-02-09 14:33:04.553818,\N
119,"{""en_US"": ""Use Time Billing"", ""th_TH"": ""ใช้การเรียกเก็บเงินตามเวลา""}",\N,\N,1,1,\N,\N,2026-02-09 14:33:05.769532,2026-02-09 14:33:05.769532,\N
168,"{""en_US"": ""Include expiration dates on delivery slip"", ""th_TH"": ""รวมวันหมดอายุไว้ในใบส่งสินค้า""}",\N,\N,1,1,\N,\N,2026-02-09 14:58:25.286621,2026-02-09 14:58:25.286621,\N
35,"{""en_US"": ""Admin"", ""th_TH"": ""แอดมิน""}",10,8,1,1,\N,\N,2026-02-02 12:45:58.901514,2026-02-02 12:45:58.901514,\N
10,"{""en_US"": ""Role / Portal""}",\N,\N,1,1,"{""en_US"": ""Portal members have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups."", ""th_TH"": ""สมาชิกพอร์ทัลมีสิทธิ์การเข้าถึงเฉพาะ (เช่น กฎการบันทึกและเมนูที่จำกัด)\\n                โดยปกติแล้วพวกเขาจะไม่ได้อยู่ในกลุ่ม Odoo ปกติ""}",\N,2026-02-02 12:34:59.026001,2026-02-09 14:58:25.286621,\N
102,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,23,1,1,"{""en_US"": ""The user will be able to join support channels."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าร่วมช่องทางการช่วยเหลือได้""}",\N,2026-02-09 14:29:58.347111,2026-02-09 14:29:58.347111,\N
134,"{""en_US"": ""Manage Work Order timer on Shop Floor"", ""th_TH"": ""จัดการตัวจับเวลาการสั่งงานบนพื้นที่ร้านค้า""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:20.101987,2026-05-16 10:06:02.136572,\N
135,"{""en_US"": ""Manage your manufacturing orders from the shop floor display app"", ""th_TH"": ""จัดการคำสั่งซื้อการผลิตของคุณจากแอปแสดงพื้นที่ร้านค้า""}",\N,\N,1,1,\N,\N,2026-02-09 14:35:20.101987,2026-05-16 10:06:02.136572,\N
11,"{""en_US"": ""Role / Public""}",\N,\N,1,1,"{""en_US"": ""Public users have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups."", ""th_TH"": ""ผู้ใช้สาธารณะมีสิทธิ์การเข้าถึงเฉพาะ (เช่น กฎการบันทึกและเมนูที่จำกัด)\\n               โดยปกติแล้วพวกเขาจะไม่ได้อยู่ในกลุ่ม Odoo ปกติ""}",\N,2026-02-02 12:34:59.026001,2026-02-09 14:09:26.195343,\N
22,"{""en_US"": ""User: Own Documents Only"", ""th_TH"": ""ผู้ใช้: เอกสารของตัวเองเท่านั้น""}",10,5,1,1,"{""en_US"": ""the user will have access to his own data in the sales application."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงข้อมูลของตนเองในแอปพลิเคชันการขาย""}",\N,2026-02-02 12:45:34.543217,2026-02-02 12:45:34.543217,\N
23,"{""en_US"": ""User: All Documents"", ""th_TH"": ""ผู้ใช้: เอกสารทั้งหมด""}",20,5,1,1,"{""en_US"": ""the user will have access to all records of everyone in the sales application."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงบันทึกทั้งหมดของทุกคนในแอปพลิเคชันการขาย""}",\N,2026-02-02 12:45:34.543217,2026-02-02 12:45:34.543217,\N
24,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",30,5,1,1,"{""en_US"": ""the user will have an access to the sales configuration as well as statistic reports."", ""th_TH"": ""ผู้ใช้จะมีสิทธิ์เข้าถึงการกำหนดค่าการขายและรายงานสถิติ""}",\N,2026-02-02 12:45:34.543217,2026-02-13 04:27:01.686903,\N
64,"{""en_US"": ""Equipment Manager"", ""th_TH"": ""ผู้จัดการอุปกรณ์""}",10,12,1,1,"{""en_US"": ""The user will be able to manage equipment."", ""th_TH"": ""ผู้ใช้จะสามารถจัดการอุปกรณ์ได้""}",\N,2026-02-02 12:49:47.29072,2026-02-02 12:49:47.29072,\N
66,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,13,1,1,"{""en_US"": ""The user will have access to the human resources configuration as well as statistic reports."", ""th_TH"": ""ผู้ใช้จะมีสิทธิ์เข้าถึงการกำหนดค่าทรัพยากรบุคคลและรายงานสถิติ""}",\N,2026-02-02 12:50:21.558669,2026-02-02 12:52:17.420188,\N
103,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,23,1,1,"{""en_US"": ""The user will be able to delete support channels."", ""th_TH"": ""ผู้ใช้จะสามารถลบช่องทางการช่วยเหลือได้""}",\N,2026-02-09 14:29:58.347111,2026-02-09 14:29:58.347111,\N
104,"{""en_US"": ""Interviewer"", ""th_TH"": ""ผู้สัมภาษณ์""}",10,24,1,1,"{""en_US"": ""Interviewer right will give access to all job position/applications where the employee is defined. It will allow to refuse, plan meetings."", ""th_TH"": ""สิทธิ์ของผู้สัมภาษณ์จะสามารถเข้าถึงตำแหน่งงาน/ใบสมัครงานทั้งหมดที่มีการระบุตัวพนักงานไว้ และสามารถปฏิเสธหรือวางแผนการประชุมได้""}",\N,2026-02-09 14:30:54.634164,2026-02-09 14:45:21.22114,\N
132,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,31,1,1,"{""en_US"": ""The PLM user uses products lifecycle management"", ""th_TH"": ""ผู้ใช้ PLM ใช้การจัดการวงจรชีวิตของผลิตภัณฑ์""}",\N,2026-02-09 14:35:15.409776,2026-02-09 14:35:15.409776,\N
133,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,31,1,1,"{""en_US"": ""The PLM manager manages products lifecycle management"", ""th_TH"": ""ผู้จัดการ PLM จัดการการจัดการวงจรชีวิตผลิตภัณฑ์""}",\N,2026-02-09 14:35:15.409776,2026-02-09 14:35:15.409776,\N
144,"{""en_US"": ""User: Read his own attendances"", ""th_TH"": ""ผู้ใช้: อ่านการเข้างานของเขาเอง""}",\N,\N,1,1,"{""en_US"": ""The user will have access to his own attendances on his user / employee profile"", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงการเข้าร่วมของตนเองในโปรไฟล์ผู้ใช้ / พนักงานของเขาได้""}",\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798,\N
145,"{""en_US"": ""Officer: Manage attendances"", ""th_TH"": ""เจ้าหน้าที่: จัดการการเข้าร่วม""}",10,\N,1,1,"{""en_US"": ""The user will have access to the attendance records and reporting of employees where he's set as an attendance manager"", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงบันทึกการเข้างานและการรายงานของพนักงานที่เขาตั้งค่าเป็นผู้จัดการการเข้างานได้""}",\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798,\N
150,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,37,1,1,"{""en_US"": ""Can manage and configure all holidays and leave requests.\\n\\nA user without any rights on Time Off will be able to see the application, create his own holidays and manage the requests of the users he's manager of."", ""th_TH"": ""สามารถจัดการและกำหนดค่าวันหยุดและคำขอลางานทั้งหมดได้\\n\\nผู้ใช้ที่ไม่มีสิทธิ์ใดๆ ในเมนู \\""ระบบการลา\\"" จะยังคงสามารถเห็นแอปพลิเคชันนี้ สร้างคำขอลาของตนเอง และจัดการคำขอของผู้ใช้งานที่ตนเองเป็นผู้จัดการอยู่ได้""}",\N,2026-02-09 14:41:46.096702,2026-02-09 14:41:46.096702,\N
153,"{""en_US"": ""Officer: Manage all contracts"", ""th_TH"": ""เจ้าหน้าที่ : จัดการสัญญาทั้งหมด""}",10,39,1,1,"{""en_US"": ""User can manage all contracts, work entries and create payslips."", ""th_TH"": ""ผู้ใช้สามารถจัดการสัญญา รายการงาน และสร้างสลิปเงินเดือนทั้งหมดได้""}",\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:45.08732,\N
154,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,39,1,1,"{""en_US"": ""User have full access on the application."", ""th_TH"": ""ผู้ใช้สามารถเข้าถึงแอปพลิเคชันได้อย่างสมบูรณ์""}",\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:45.08732,\N
