id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1612,1139,30,1,1,access.wip.accounting.line,t,t,t,t,t,2026-02-09 14:35:13.383218,2026-03-14 03:55:13.962869
1921,1324,126,1,1,access.mrp.mps.forecast.suggestion,t,t,t,t,t,2026-02-09 14:55:13.517558,2026-03-14 03:55:22.487643
1282,950,47,1,1,stock.landed.cost,t,t,t,t,t,2026-02-06 02:44:17.589937,2026-03-14 03:55:30.468957
1283,951,47,1,1,stock.landed.cost.lines,t,t,t,t,t,2026-02-06 02:44:17.589937,2026-03-14 03:55:30.468957
1284,952,47,1,1,stock.valuation.adjustment.lines,t,t,t,t,t,2026-02-06 02:44:17.589937,2026-03-14 03:55:30.468957
2186,906,46,1,1,delivery.zip.prefix stock_manager,t,t,f,f,f,2026-03-14 03:44:01.444419,2026-03-14 03:55:42.869287
2187,905,46,1,1,delivery.price.rule stock_manager,t,t,f,f,f,2026-03-14 03:44:01.444419,2026-03-14 03:55:42.869287
1504,1095,120,1,1,access_project_task_stop_timers_wizard_line_user_fsm,t,t,t,t,f,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323
1505,1092,120,1,1,access_report_project_task_user_project_user_fsm,t,t,f,f,f,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323
1516,1101,120,1,1,access_fsm_stock_tracking_line,t,t,f,f,f,2026-02-09 14:33:46.217344,2026-03-28 09:54:41.551664
1517,1101,46,1,1,access_fsm_stock_tracking_line,t,f,t,t,t,2026-02-09 14:33:46.217344,2026-03-28 09:54:41.551664
862,732,46,1,1,purchase.order.line,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
863,674,60,1,1,stock.location,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
864,686,60,1,1,stock.warehouse,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
865,682,60,1,1,stock.picking,t,t,t,t,t,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
866,676,60,1,1,stock.move,t,t,t,t,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
867,674,61,1,1,stock.location,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
868,686,61,1,1,stock.warehouse,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
869,682,61,1,1,stock.picking,t,t,t,t,t,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
870,676,61,1,1,stock.move,t,t,t,t,t,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
871,679,61,1,1,stock.warehouse.orderpoint,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
872,679,60,1,1,stock.warehouse.orderpoint,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
873,737,61,1,1,vendor.delay.report,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
