id,ir_actions_server_id,user_id,interval_number,priority,failure_count,create_uid,write_uid,cron_name,interval_type,active,nextcall,lastcall,first_failure_date,create_date,write_date
74,1435,1,4,5,0,1,1,Attendance: Detect Absences for employees,hours,t,2026-06-14 14:41:14,2026-06-14 10:41:25,\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798
16,224,1,10,5,0,1,1,Payment: Post-process transactions,minutes,t,2026-06-14 14:45:46,2026-06-14 14:35:54,\N,2026-02-02 12:45:42.038248,2026-02-03 05:12:46.083618
82,1645,1,1,5,0,1,1,MPS: replenish automated schedules,days,t,2026-06-14 14:55:20,2026-06-13 14:55:21,\N,2026-02-09 14:55:13.517558,2026-03-14 03:55:22.487643
80,1542,1,1,5,0,1,1,Payroll: Generate pdfs,hours,t,2026-06-14 14:43:39.722235,2026-06-14 13:43:49,\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
46,787,1,1,5,0,1,1,HR Expense: Send Submitted Expenses Mail,weeks,t,2026-06-15 12:51:21,2026-06-08 12:51:50,\N,2026-02-02 12:51:15.626366,2026-02-02 12:51:15.626366
8,137,1,1,5,0,1,1,Notification: Notify scheduled messages,hours,t,2026-06-14 14:45:24,2026-06-14 13:45:49,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
60,992,1,1,5,0,1,1,Disable unused snippets assets,weeks,t,2026-06-15 14:09:36,2026-06-08 14:10:17,\N,2026-02-09 14:09:26.195343,2026-02-09 14:09:26.195343
75,1449,1,1,5,0,1,1,Accrual Time Off: Updates the number of time off,days,t,2026-06-14 14:41:53,2026-06-13 14:42:06,\N,2026-02-09 14:41:46.096702,2026-02-09 14:41:46.096702
11,159,1,1,6,0,1,1,Users: Notify About Unregistered Users,days,t,2026-06-15 12:45:26,2026-06-14 12:45:42,\N,2026-02-02 12:45:26.773096,2026-02-02 12:45:26.773096
76,1450,1,1,5,0,1,1,Time Off: Cancel invalid leaves,days,t,2026-06-14 14:41:53,2026-06-13 14:42:06,\N,2026-02-09 14:41:46.096702,2026-02-09 14:41:46.096702
3,132,1,1,6,0,1,1,Mail: Email Queue Manager,hours,t,2026-06-14 14:45:23,2026-06-14 13:45:50,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
45,702,1,1,5,0,1,1,Skills: Add an activity to employees with missing or expiring certifications,days,t,2026-06-15 12:50:32,2026-06-14 12:50:44,\N,2026-02-02 12:50:31.33077,2026-02-02 12:50:31.33077
77,1494,1,1,5,0,1,1,Fleet: Generate contracts costs based on costs frequency,days,t,2026-06-14 14:42:41,2026-06-13 14:43:07,\N,2026-02-09 14:42:34.289973,2026-02-09 14:42:34.289973
78,1500,1,1,5,0,1,1,Generate Missing Work Entries,days,t,2026-06-14 14:43:31,2026-06-13 14:43:32,\N,2026-02-09 14:43:29.916175,2026-02-09 14:43:29.916175
