source_table,constraint,source_column,target_table,target_column
account_analytic_account,account_analytic_account_partner_id_fkey,partner_id,res_partner,id
account_analytic_account,account_analytic_account_plan_id_fkey,plan_id,account_analytic_plan,id
account_analytic_account,account_analytic_account_root_plan_id_fkey,root_plan_id,account_analytic_plan,id
account_analytic_account,account_analytic_account_write_uid_fkey,write_uid,res_users,id
account_analytic_applicability,account_analytic_applicability_analytic_plan_id_fkey,analytic_plan_id,account_analytic_plan,id
account_analytic_applicability,account_analytic_applicability_company_id_fkey,company_id,res_company,id
account_analytic_applicability,account_analytic_applicability_create_uid_fkey,create_uid,res_users,id
account_analytic_applicability,account_analytic_applicability_product_categ_id_fkey,product_categ_id,product_category,id
account_analytic_applicability,account_analytic_applicability_write_uid_fkey,write_uid,res_users,id
account_analytic_distribution_model,account_analytic_distribution_model_company_id_fkey,company_id,res_company,id
account_analytic_distribution_model,account_analytic_distribution_model_create_uid_fkey,create_uid,res_users,id
account_analytic_distribution_model,account_analytic_distribution_model_partner_category_id_fkey,partner_category_id,res_partner_category,id
account_analytic_distribution_model,account_analytic_distribution_model_partner_id_fkey,partner_id,res_partner,id
account_analytic_distribution_model,account_analytic_distribution_model_product_categ_id_fkey,product_categ_id,product_category,id
account_analytic_distribution_model,account_analytic_distribution_model_product_id_fkey,product_id,product_product,id
account_analytic_distribution_model,account_analytic_distribution_model_write_uid_fkey,write_uid,res_users,id
account_analytic_line,account_analytic_line_account_id_fkey,account_id,account_analytic_account,id
account_analytic_line_calendar_employee,account_analytic_line_calendar_employee_create_uid_fkey,create_uid,res_users,id
account_analytic_line_calendar_employee,account_analytic_line_calendar_employee_employee_id_fkey,employee_id,hr_employee,id
account_analytic_line_calendar_employee,account_analytic_line_calendar_employee_user_id_fkey,user_id,res_users,id
account_analytic_line_calendar_employee,account_analytic_line_calendar_employee_write_uid_fkey,write_uid,res_users,id
account_analytic_line,account_analytic_line_company_id_fkey,company_id,res_company,id
account_analytic_line,account_analytic_line_create_uid_fkey,create_uid,res_users,id
account_analytic_line,account_analytic_line_currency_id_fkey,currency_id,res_currency,id
account_analytic_line,account_analytic_line_department_id_fkey,department_id,hr_department,id
account_analytic_line,account_analytic_line_employee_id_fkey,employee_id,hr_employee,id
account_analytic_line,account_analytic_line_general_account_id_fkey,general_account_id,account_account,id
account_analytic_line,account_analytic_line_global_leave_id_fkey,global_leave_id,resource_calendar_leaves,id
account_analytic_line,account_analytic_line_holiday_id_fkey,holiday_id,hr_leave,id
account_analytic_line_hr_timesheet_merge_wizard_rel,account_analytic_line_hr_time_hr_timesheet_merge_wizard_id_fkey,hr_timesheet_merge_wizard_id,hr_timesheet_merge_wizard,id
account_analytic_line_hr_timesheet_merge_wizard_rel,account_analytic_line_hr_timeshee_account_analytic_line_id_fkey,account_analytic_line_id,account_analytic_line,id
account_analytic_line,account_analytic_line_journal_id_fkey,journal_id,account_journal,id
account_analytic_line,account_analytic_line_manager_id_fkey,manager_id,hr_employee,id
account_analytic_line,account_analytic_line_move_line_id_fkey,move_line_id,account_move_line,id
account_analytic_line_mrp_workorder_rel,account_analytic_line_mrp_workord_account_analytic_line_id_fkey,account_analytic_line_id,account_analytic_line,id
account_analytic_line_mrp_workorder_rel,account_analytic_line_mrp_workorder_rel_mrp_workorder_id_fkey,mrp_workorder_id,mrp_workorder,id
account_analytic_line,account_analytic_line_order_id_fkey,order_id,sale_order,id
account_analytic_line,account_analytic_line_parent_task_id_fkey,parent_task_id,project_task,id
account_analytic_line,account_analytic_line_partner_id_fkey,partner_id,res_partner,id
account_analytic_line,account_analytic_line_product_id_fkey,product_id,product_product,id
