id,product_id,company_id,location_id,lot_id,package_id,owner_id,user_id,create_uid,write_uid,inventory_date,quantity,reserved_quantity,inventory_quantity,inventory_diff_quantity,inventory_quantity_set,in_date,create_date,write_date,accounting_date,expiration_date,removal_date
130672,1955,1,5,\N,\N,\N,\N,2,42,2026-12-31,3.00,0.00,0.00,0.00,f,2026-06-26 06:37:10,2026-06-26 06:35:08.98363,2026-06-30 08:40:06.67395,\N,\N,\N
130392,839,1,5,\N,\N,\N,\N,2,2,2026-12-31,6.00,1.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-18 06:21:21.794477,\N,\N,\N
130208,1165,1,5,\N,\N,\N,\N,2,2,2026-12-31,6.00,4.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-25 03:36:18.391215,\N,\N,\N
130318,1502,1,5,\N,\N,\N,\N,2,2,2026-12-31,15.00,15.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-08-02 00:51:15.205826,\N,\N,\N
130293,1004,1,5,\N,\N,\N,\N,2,2,2026-12-31,16.00,16.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-30 08:36:23.760975,\N,\N,\N
130315,1499,1,5,\N,\N,\N,\N,2,2,2026-12-31,32.00,32.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-08-02 01:51:38.419754,\N,\N,\N
130497,762,1,5,\N,\N,\N,\N,2,2,2026-12-31,16.00,8.00,0.00,0.00,f,2026-06-26 06:37:10,2026-06-26 06:35:08.98363,2026-07-28 20:21:52.537503,\N,\N,\N
130413,2358,1,5,\N,\N,\N,\N,2,2,2026-12-31,15.00,15.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-24 06:51:12.281004,\N,\N,\N
130239,2294,1,5,\N,\N,\N,\N,2,2,2026-12-31,25.00,4.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-31 09:06:19.703232,\N,\N,\N
130249,2297,1,5,\N,\N,\N,\N,2,2,2026-12-31,20.00,4.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-08-02 09:21:34.357204,\N,\N,\N
130219,1177,1,5,\N,\N,\N,\N,2,2,2026-12-31,37.00,16.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-25 17:06:36.901598,\N,\N,\N
130730,438,1,5,\N,\N,\N,\N,2,42,2026-12-31,62.00,3.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:06.67395,\N,\N,\N
