id,ir_actions_server_id,user_id,interval_number,priority,failure_count,create_uid,write_uid,cron_name,interval_type,active,nextcall,lastcall,first_failure_date,create_date,write_date
27,384,1,1,5,0,1,1,automatic invoicing: send ready invoice,days,f,2026-02-02 12:46:18,\N,\N,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
28,385,1,1,5,0,1,1,Sales: Send pending emails,days,f,2026-02-02 12:46:18,\N,\N,2026-02-02 12:46:16.192353,2026-02-02 12:46:16.192353
34,439,1,9999,5,0,1,1,AI Agent Sources: Process Sources,months,t,2859-05-02 12:46:30,2026-02-02 12:48:22,\N,2026-02-02 12:46:26.219012,2026-02-02 12:46:26.219012
48,804,1,1,5,0,1,1,Expense OCR: Validate Expenses,days,t,2026-07-15 12:51:23,2026-07-14 12:51:43,\N,2026-02-02 12:51:23.160576,2026-03-13 18:57:10.651097
6,135,1,5,5,0,1,1,Mail: Fetchmail Service,minutes,f,2026-02-02 12:45:24,\N,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
59,982,1,4,5,0,1,1,Automation Rules: check and execute,hours,f,2026-02-06 09:47:35,\N,\N,2026-02-06 09:47:30.795076,2026-02-06 09:47:30.795076
87,1778,1,1,11,0,2,2,Database Backup Schedule #1,days,f,2026-03-06 08:05:43,2026-03-09 08:06:20,\N,2026-03-06 08:07:19.58699,2026-03-10 07:34:10.009319
32,424,1,9999,5,0,1,1,Sale Pdf Quote Builder: assign form fields to documents post upgrade,months,t,2859-05-02 12:46:24,2026-02-02 12:48:22,\N,2026-02-02 12:46:24.385107,2026-02-02 12:46:24.385107
22,331,1,5,5,0,1,1,Account: Journal online Waiting Synchronization,minutes,f,2026-02-02 12:46:08,\N,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
4,133,1,1,1000,0,1,1,Publisher: Update Notification,weeks,f,2026-03-16 12:45:24,2026-03-09 12:45:25,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
37,448,1,1,5,0,1,1,Predictive Lead Scoring: Recompute Automated Probabilities,days,f,2026-02-02 12:47:17,\N,\N,2026-02-02 12:47:15.861119,2026-02-02 12:47:15.861119
33,438,1,9999,5,0,1,1,AI Embedding: Generate Embeddings,months,t,2859-05-02 12:46:30,2026-02-02 12:48:22,\N,2026-02-02 12:46:26.219012,2026-02-02 12:46:26.219012
12,206,1,9999,5,0,1,1,Product Images: Get product images from Barcode Lookup,months,t,2859-05-02 12:45:37,2026-02-02 12:48:22,\N,2026-02-02 12:45:37.133049,2026-02-02 12:45:37.133049
23,332,1,1,5,0,1,1,Account: Journal online sync reminder,days,t,2026-07-15 12:46:08,2026-07-14 12:46:37,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
43,692,1,1,5,0,1,1,HR Employee: Notify Expiring Contract or Work Permit,days,t,2026-07-15 12:50:28,2026-07-14 12:50:42,\N,2026-02-02 12:50:21.558669,2026-02-02 12:50:21.558669
68,1149,1,1,5,0,1,1,Helpdesk Ticket: Automatically close the tickets,days,f,2026-02-10 01:00:00,\N,\N,2026-02-09 14:32:53.524726,2026-02-09 14:32:53.524726
40,519,1,1,5,0,1,1,Procurement: run scheduler,days,t,2026-07-15 12:48:39,2026-07-14 12:48:39,\N,2026-02-02 12:48:32.885425,2026-02-02 12:48:32.885425
44,693,1,1,5,0,1,1,HR Employee: Update Current Version,days,t,2026-07-15 12:50:28,2026-07-14 12:50:42,\N,2026-02-02 12:50:21.558669,2026-02-02 12:50:21.558669
17,304,1,1,5,0,1,1,Account: Post draft entries with auto_post enabled and accounting date up to today,days,t,2026-07-15 02:00:10,2026-07-14 02:00:45,\N,2026-02-02 12:45:47.890983,2026-06-27 03:52:58.808703
38,451,1,1,5,0,1,2,CRM: Lead Assignment,days,f,2026-07-10 10:43:40,\N,\N,2026-02-02 12:47:15.861119,2026-07-09 10:43:56.350714
51,828,1,1,5,0,1,1,Sign: Send mail reminder,days,t,2026-07-15 10:00:00,2026-07-14 10:00:31,\N,2026-02-02 12:52:10.175496,2026-02-02 12:52:10.175496
10,139,1,1,5,0,1,1,Discuss: channel member unmute,days,t,2026-07-15 12:45:24,2026-07-14 12:45:35,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
19,313,1,1,5,0,1,1,Try to reconcile automatically your statement lines,days,t,2026-07-15 12:46:01,2026-07-14 12:46:37,\N,2026-02-02 12:46:00.3669,2026-06-27 03:53:13.270556
49,818,1,1,5,0,1,1,Gamification: Goal Challenge Check,days,t,2026-07-15 12:52:06,2026-07-14 12:52:30,\N,2026-02-02 12:52:04.851472,2026-02-02 12:52:04.851472
