id,company_id,product_id,stock_valuation_layer_id,stock_move_id,account_move_id,account_move_line_id,create_uid,write_uid,description,quantity,unit_cost,value,remaining_qty,remaining_value,create_date,write_date,price_diff_value,stock_landed_cost_id
51251,1,8969,\N,82430,152174,\N,39,39,WH/MO/07040/SWR - ถุงใน (HDPE),-964.000000,1.08,-1041.12,0.000000,\N,2025-06-09 03:32:55.563173,2025-06-09 03:32:55.563173,\N,\N
51281,1,637,\N,82484,152204,\N,39,39,SP/01421 - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (LUCKY BOY),-4.000000,11.10,-44.40,0.000000,\N,2025-06-09 03:43:23.4741,2025-06-09 03:43:23.4741,\N,\N
51215,1,7947,\N,82258,\N,\N,36,26,WH/IN/06828 - ซันไลด์เลมอน,4.000000,68.23,272.92,4.000000,272.90,2025-06-07 01:15:07.9506,2025-06-10 02:54:42.297216,\N,\N
51238,1,14532,\N,82405,\N,\N,36,26,WH/IN/06866 - ฟ๊อกกี้,5.000000,64.49,322.45,5.000000,322.43,2025-06-09 03:14:53.220133,2025-06-10 03:15:42.136673,\N,\N
51378,1,998,\N,82594,152495,\N,25,25,WH/MO/07054/SWR - คัดแล้ว-ข้าวขาว5%,-452.000000,12.03,-5435.35,0.000000,\N,2025-06-11 08:43:52.867335,2025-06-11 08:43:52.867335,\N,\N
51246,1,12599,\N,82421,152169,\N,39,25,WH/MO/07038/SWR - ชุดสำเร็จ - (LELE),1000.000000,68.75,68750.00,0.000000,0.00,2025-06-09 03:30:27.588702,2025-06-13 01:36:35.587721,\N,\N
51249,1,12598,\N,82425,152172,\N,39,25,WH/MO/07039/SWR - ชุดสำเร็จ - (LELE),10000.000000,52.65,526500.00,0.000000,0.00,2025-06-09 03:31:50.127327,2025-06-20 07:24:11.981265,\N,\N
51242,1,12525,\N,82413,152165,\N,39,25,WH/MO/07036/SWR - ชุดสำเร็จ - (FOUR ELEPHANT),1375.000000,66.48,91410.00,0.000000,0.00,2025-06-09 03:21:02.384861,2025-06-25 02:17:14.266639,\N,\N
51224,1,948,\N,82330,152153,\N,212,220,WH/IN/06844 - วัตถุดิบ-ข้าวพิษณุโลก,31424.000000,16.70,524780.80,0.000000,0.00,2025-06-07 09:57:18.86106,2025-06-28 07:18:30.507711,\N,\N
51252,1,13873,\N,82431,152175,\N,39,39,WH/MO/07040/SWR - RIBBON (NEW CROP),-964.000000,0.90,-867.60,0.000000,\N,2025-06-09 03:32:55.563173,2025-06-09 03:32:55.563173,\N,\N
70500,1,12949,\N,112335,193570,\N,169,169,WH/MO/09562/SWR - ชุดสำเร็จ - (FOUR ELEPHANT) (NEWCROP),-1884.000000,11.89,-22400.76,0.000000,\N,2026-03-24 10:45:14.720193,2026-03-24 10:45:14.720193,\N,\N
61453,1,14055,\N,99109,175567,\N,220,220,WH/MO/08326/SWR - By Product-ปลายข้าวหอมมะลิอีสาน68,-16020.000000,14.09,-225721.80,0.000000,\N,2025-11-11 04:43:31.83063,2025-11-11 04:43:31.83063,\N,\N
61454,1,14093,\N,99110,175568,\N,220,220,WH/MO/08326/SWR - วัตถุดิบ-ปลายข้าวหอมมะลิอีสาน68,-18979.450000,10.30,-195488.34,0.000000,\N,2025-11-11 04:43:31.83063,2025-11-11 04:43:31.83063,\N,\N
60290,1,14093,\N,97083,173390,\N,212,220,WH/IN/08226 - วัตถุดิบ-ปลายข้าวหอมมะลิอีสาน68,30964.000000,10.30,318929.20,0.000000,0.00,2025-10-22 12:09:57.887524,2025-11-15 07:31:57.306183,\N,\N
54428,1,1326,\N,87110,160756,\N,220,220,WH/MO/07422/SWR - By Product-ซาห่อข้าวSWR001,931.000000,5.84,5440.00,0.000000,0.00,2025-07-27 06:57:29.530176,2026-02-13 07:20:58.345491,\N,\N
51258,1,8911,\N,82445,152181,\N,39,39,WH/MO/07042/SWR - กระสอบพีพีขาว 100% เคลือบกราเวียร์ 1 หน้า (VIENTIANE LADY),-420.000000,10.25,-4305.00,0.000000,\N,2025-06-09 03:34:33.716734,2025-06-09 03:34:33.716734,\N,\N
51259,1,8969,\N,82446,152182,\N,39,39,WH/MO/07042/SWR - ถุงใน (HDPE),-420.000000,1.08,-453.60,0.000000,\N,2025-06-09 03:34:33.716734,2025-06-09 03:34:33.716734,\N,\N
51260,1,13873,\N,82447,152183,\N,39,39,WH/MO/07042/SWR - RIBBON (NEW CROP),-420.000000,0.90,-378.00,0.000000,\N,2025-06-09 03:34:33.716734,2025-06-09 03:34:33.716734,\N,\N
51283,1,11497,\N,82486,152206,\N,39,39,SP/01423 - กระสอบพีพีใส 100% (LUCKY BOY) (RED),-4.000000,5.60,-22.40,0.000000,\N,2025-06-09 03:44:10.920957,2025-06-09 03:44:10.920957,\N,\N
51285,1,8928,\N,82488,152208,\N,39,39,SP/01425 - ลังกระดาษลูกฟูก (FOUR ELEPHANT),-60.000000,10.50,-630.00,0.000000,\N,2025-06-09 03:49:17.072932,2025-06-09 03:49:17.072932,\N,\N
51288,1,1589,\N,82491,152213,\N,39,39,SP/01428 - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (LELE รุ่นธรรมดา),-218.000000,10.70,-2332.60,0.000000,\N,2025-06-09 04:13:50.948868,2025-06-09 04:13:50.948868,\N,\N
51300,1,9055,\N,82504,152225,\N,39,39,SP/01440 - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (FOUR ELEPHANT),-2.000000,10.08,-20.16,0.000000,\N,2025-06-09 04:32:40.161033,2025-06-09 04:32:40.161033,\N,\N
54411,1,11556,\N,87058,160743,\N,220,220,WH/MO/07417/SWR - วัตถุดิบ-ข้าวหอมมะลิอีสาน67,-4000.000000,37.17,-148680.00,0.000000,\N,2025-07-27 05:58:45.45203,2025-07-27 05:58:45.45203,\N,\N
51303,1,14381,\N,82507,152228,\N,39,39,SP/01443 - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (GOLDEN PISCES),-1.000000,11.00,-11.00,0.000000,\N,2025-06-09 04:33:37.592842,2025-06-09 04:33:37.592842,\N,\N
