evidence,module,path,records,views_hint,actions_hint,menus,security_hint
01 ACCOUNT.zip,account_bank_statement_import_qif,01 ACCOUNT/account_bank_statement_import_qif/views/account_journal_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_3way_match,01 ACCOUNT/account_3way_match/views/account_journal_dashboard_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_3way_match,01 ACCOUNT/account_3way_match/views/account_invoice_view.xml,4,4,2,0,0
01 ACCOUNT.zip,account_bank_statement_extract,01 ACCOUNT/account_bank_statement_extract/views/account_bank_statement_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_bank_statement_extract,01 ACCOUNT/account_bank_statement_extract/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_invoice_extract,01 ACCOUNT/account_invoice_extract/data/crons.xml,2,0,0,0,0
01 ACCOUNT.zip,account_invoice_extract,01 ACCOUNT/account_invoice_extract/views/account_move_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account_invoice_extract,01 ACCOUNT/account_invoice_extract/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_check_printing,01 ACCOUNT/account_check_printing/wizard/print_prenumbered_checks_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_check_printing,01 ACCOUNT/account_check_printing/data/account_check_printing_data.xml,2,0,1,0,0
01 ACCOUNT.zip,account_check_printing,01 ACCOUNT/account_check_printing/views/account_payment_views.xml,2,4,0,0,0
01 ACCOUNT.zip,account_check_printing,01 ACCOUNT/account_check_printing/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_check_printing,01 ACCOUNT/account_check_printing/views/account_journal_views.xml,2,4,0,0,0
01 ACCOUNT.zip,account_winbooks_import,01 ACCOUNT/account_winbooks_import/wizard/account_import_summary_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_winbooks_import,01 ACCOUNT/account_winbooks_import/wizard/import_wizard_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account_test,01 ACCOUNT/account_test/report/accounting_assert_test_reports.xml,1,0,1,0,0
01 ACCOUNT.zip,account_test,01 ACCOUNT/account_test/data/accounting_assert_test_data.xml,8,0,0,0,0
01 ACCOUNT.zip,account_test,01 ACCOUNT/account_test/views/accounting_assert_test_views.xml,4,6,1,1,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/demo/account_peppol_demo.xml,1,0,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/wizard/peppol_registration_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/wizard/peppol_config_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/data/mail_templates_email_layouts.xml,1,0,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/data/cron.xml,4,0,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/views/account_move_views.xml,4,8,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/views/res_partner_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/views/peppol_authentication_views.xml,1,0,0,0,0
01 ACCOUNT.zip,account_peppol,01 ACCOUNT/account_peppol/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_bank_statement_import_csv,01 ACCOUNT/account_bank_statement_import_csv/views/bank_rec_widget_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/security/account_sepa_direct_debit_security.xml,2,0,0,0,2
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/wizard/sdd_mandate_send_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/wizard/account_payment_register_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/report/empty_mandate_report.xml,1,0,1,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/data/mail_template.xml,3,0,0,0,0
