table,columns,reference_table,constraint,definition
account_account_tag_account_tax_repartition_line_rel,account_tax_repartition_line_id,account_tax_repartition_line,account_account_tag_account_t_account_tax_repartition_line_fkey,FOREIGN KEY (account_tax_repartition_line_id) REFERENCES public.account_tax_repartition_line(id) ON DELETE CASCADE
account_account_tag_account_withholding_tax_rel,account_account_tag_id,account_account_tag,account_account_tag_account_withhol_account_account_tag_id_fkey,FOREIGN KEY (account_account_tag_id) REFERENCES public.account_account_tag(id) ON DELETE CASCADE
account_account_tag_account_withholding_tax_rel,account_withholding_tax_id,account_withholding_tax,account_account_tag_account_wit_account_withholding_tax_id_fkey,FOREIGN KEY (account_withholding_tax_id) REFERENCES public.account_withholding_tax(id) ON DELETE CASCADE
account_account_tag_product_template_rel,account_account_tag_id,account_account_tag,account_account_tag_product_templat_account_account_tag_id_fkey,FOREIGN KEY (account_account_tag_id) REFERENCES public.account_account_tag(id) ON DELETE CASCADE
account_account_tag_product_template_rel,product_template_id,product_template,account_account_tag_product_template_r_product_template_id_fkey,FOREIGN KEY (product_template_id) REFERENCES public.product_template(id) ON DELETE CASCADE
account_account_tax_default_rel,account_id,account_account,account_account_tax_default_rel_account_id_fkey,FOREIGN KEY (account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_account_tax_default_rel,tax_id,account_tax,account_account_tax_default_rel_tax_id_fkey,FOREIGN KEY (tax_id) REFERENCES public.account_tax(id) ON DELETE CASCADE
account_accrued_orders_wizard,account_id,account_account,account_accrued_orders_wizard_account_id_fkey,FOREIGN KEY (account_id) REFERENCES public.account_account(id) ON DELETE CASCADE
account_accrued_orders_wizard,journal_id,account_journal,account_accrued_orders_wizard_journal_id_fkey,FOREIGN KEY (journal_id) REFERENCES public.account_journal(id) ON DELETE CASCADE
account_accrued_orders_wizard,company_id,res_company,account_accrued_orders_wizard_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE SET NULL
account_accrued_orders_wizard,currency_id,res_currency,account_accrued_orders_wizard_currency_id_fkey,FOREIGN KEY (currency_id) REFERENCES public.res_currency(id) ON DELETE SET NULL
account_accrued_orders_wizard,create_uid,res_users,account_accrued_orders_wizard_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_accrued_orders_wizard,write_uid,res_users,account_accrued_orders_wizard_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_account,plan_id,account_analytic_plan,account_analytic_account_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES public.account_analytic_plan(id) ON DELETE RESTRICT
account_analytic_account,root_plan_id,account_analytic_plan,account_analytic_account_root_plan_id_fkey,FOREIGN KEY (root_plan_id) REFERENCES public.account_analytic_plan(id) ON DELETE SET NULL
account_analytic_account,company_id,res_company,account_analytic_account_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE SET NULL
account_analytic_account,partner_id,res_partner,account_analytic_account_partner_id_fkey,FOREIGN KEY (partner_id) REFERENCES public.res_partner(id) ON DELETE SET NULL
account_analytic_account,create_uid,res_users,account_analytic_account_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_account,write_uid,res_users,account_analytic_account_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_account_mrp_bom_rel,account_analytic_account_id,account_analytic_account,account_analytic_account_mrp_b_account_analytic_account_id_fkey,FOREIGN KEY (account_analytic_account_id) REFERENCES public.account_analytic_account(id) ON DELETE CASCADE
account_analytic_account_mrp_bom_rel,mrp_bom_id,mrp_bom,account_analytic_account_mrp_bom_rel_mrp_bom_id_fkey,FOREIGN KEY (mrp_bom_id) REFERENCES public.mrp_bom(id) ON DELETE CASCADE
account_analytic_account_mrp_production_rel,account_analytic_account_id,account_analytic_account,account_analytic_account_mrp_p_account_analytic_account_id_fkey,FOREIGN KEY (account_analytic_account_id) REFERENCES public.account_analytic_account(id) ON DELETE CASCADE
account_analytic_account_mrp_production_rel,mrp_production_id,mrp_production,account_analytic_account_mrp_production__mrp_production_id_fkey,FOREIGN KEY (mrp_production_id) REFERENCES public.mrp_production(id) ON DELETE CASCADE
