area,technical_name,manifest_file,name,version,license,category,author,website,installable,application,auto_install,depends_count,depends,summary,parse_error
02_OTHER,maintenance,__manifest__.py,Maintenance,1.0,LGPL-3,Supply Chain/Maintenance,Odoo S.A.,https://www.odoo.com/app/maintenance,True,True,False,1,mail,Track equipment and manage maintenance requests,
02_OTHER,maintenance_worksheet,__manifest__.py,Worksheet for Maintenance,1.0,OEEL-1,Supply Chain/Maintenance,Odoo S.A.,,True,False,False,2,maintenance;worksheet,Create custom worksheets for Maintenance,
02_OTHER,marketing_automation,__manifest__.py,Marketing Automation,1.0,OEEL-1,Marketing/Marketing Automation,Odoo S.A.,https://www.odoo.com/app/marketing-automation,True,True,False,1,mass_mailing,Build automated mailing campaigns,
02_OTHER,marketing_automation_crm,__manifest__.py,CRM in marketing automation,1.0,OEEL-1,CRM in marketing automation,Odoo S.A.,,True,False,True,2,marketing_automation;crm,CRM in marketing automation,
02_OTHER,marketing_automation_sms,__manifest__.py,SMS Marketing in Marketing Automation,1.0,OEEL-1,Marketing/Marketing Automation,Odoo S.A.,,True,False,True,2,marketing_automation;mass_mailing_sms,Integrate SMS Marketing in marketing campaigns,
02_OTHER,marketing_automation_website_sale,__manifest__.py,E-Commerce Marketing Automation,1.0,OEEL-1,Marketing/Marketing Automation,Odoo S.A.,,True,False,True,2,marketing_automation;website_sale,Marketing Automation Templates for E-Commerce,
02_OTHER,marketing_automation_whatsapp,__manifest__.py,WhatsApp in Marketing Automation,1.0,OEEL-1,Marketing/Marketing Automation,Odoo S.A.,,True,False,True,2,marketing_automation;whatsapp,Integrate WhatsApp in marketing campaigns,
02_OTHER,marketing_card,__manifest__.py,Marketing Card,1.1,LGPL-3,Marketing/Marketing Card,Odoo S.A.,,True,True,False,3,link_tracker;mass_mailing;website,Generate dynamic shareable cards,
02_OTHER,mass_mailing,__manifest__.py,Email Marketing,2.7,LGPL-3,Marketing/Email Marketing,Odoo S.A.,https://www.odoo.com/app/email-marketing,True,True,False,8,contacts;mail;html_builder;utm;link_tracker;social_media;web_tour;digest,"Design, send and track emails",
02_OTHER,mass_mailing_crm,__manifest__.py,Mass mailing on lead / opportunities,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,crm;mass_mailing,Add lead / opportunities UTM info on mass mailing,
