id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
580,30,577,1,1,228/246/577/580/,\N,"ir.actions.act_window,947","{""en_US"": ""TikTok Items""}",t,2026-04-16 09:07:18.496391,2026-06-27 07:20:16.13352
581,3,577,1,1,228/246/577/581/,\N,"ir.actions.act_window,948","{""en_US"": ""Returns""}",t,2026-04-16 09:07:18.496391,2026-06-27 07:20:16.13352
575,30,544,1,1,228/246/544/575/,\N,"ir.actions.act_window,899","{""en_US"": ""Lazada Items""}",t,2026-04-02 07:15:13.526091,2026-04-07 04:50:28.97665
576,99,251,1,1,228/246/251/576/,\N,"ir.actions.act_window,936","{""en_US"": ""Product Brands""}",t,2026-04-16 09:07:12.435297,2026-04-16 09:07:12.435297
557,10,556,1,1,551/552/556/557/,\N,"ir.actions.client,919","{""en_US"": ""Properties"", ""th_TH"": ""คุณสมบัติ""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
558,20,556,1,1,551/552/556/558/,\N,"ir.actions.client,919","{""en_US"": ""Optimize SEO"", ""th_TH"": ""เพิ่มประสิทธิภาพ SEO""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
559,30,556,1,1,551/552/556/559/,\N,"ir.actions.client,919","{""en_US"": ""HTML / CSS Editor"", ""th_TH"": ""ตัวแก้ไข HTML / CSS""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
560,40,556,1,1,551/552/556/560/,\N,"ir.actions.client,919","{""en_US"": ""Edit Menu"", ""th_TH"": ""แก้ไขเมนู""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
561,30,551,1,1,551/561/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
563,10,561,1,1,551/561/563/,\N,"ir.actions.server,922","{""en_US"": ""Analytics"", ""th_TH"": ""การวิเคราะห์""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
