id,name,sequence,privilege_id,create_uid,write_uid,comment,share,create_date,write_date,api_key_duration
26,"{""en_US"": ""Read-only"", ""th_TH"": ""แสดงฟีเจอร์ระบบบัญชี - อ่านอย่างเดียว""}",10,6,1,1,"{""en_US"": ""access to all the accounting data but in readonly mode, no actions allowed.""}",\N,2026-03-18 05:04:07.882243,2026-03-29 06:24:54.73921,\N
29,"{""en_US"": ""Bookkeeper"", ""th_TH"": ""Show Full Accounting Features""}",40,6,1,1,"{""en_US"": ""access to all Accounting features, including reporting, asset management, analytic accounting, without configuration rights.""}",\N,2026-03-18 05:04:07.882243,2026-03-29 06:24:54.73921,\N
31,"{""en_US"": ""Show Inalterability Features"", ""th_TH"": ""แสดงฟีเจอร์ที่ไม่สามารถเปลี่ยนแปลงได้""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:07.882243,2026-03-29 06:22:49.558331,\N
34,"{""en_US"": ""Validate bank account"", ""th_TH"": ""ตรวจสอบบัญชีธนาคาร""}",\N,7,1,1,\N,\N,2026-03-18 05:04:07.882243,2026-03-29 06:22:49.558331,\N
39,"{""en_US"": ""A warning can be set on a product or a customer (Sale)"", ""th_TH"": ""สามารถตั้งเตือนบนสินค้าหรือลูกค้าได้ (ขาย)""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:33.38448,2026-03-29 06:23:41.334943,\N
38,"{""en_US"": ""Discount on lines"", ""th_TH"": ""ส่วนลดทางรายการ""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:33.38448,2026-03-29 06:23:41.334943,\N
37,"{""en_US"": ""Lock Confirmed Sales"", ""th_TH"": ""ล็อกการขายที่ยืนยันแล้ว""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:33.38448,2026-03-29 06:23:41.334943,\N
40,"{""en_US"": ""Pro-forma Invoices"", ""th_TH"": ""ใบแจ้งหนี้ Pro-Forma""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:33.38448,2026-03-29 06:23:41.334943,\N
41,"{""en_US"": ""Quotation Templates"", ""th_TH"": ""เทมเพลตใบเสนอราคา""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:39.706647,2026-03-29 06:23:51.561886,\N
54,"{""en_US"": ""A warning can be set on a partner (Stock)"", ""th_TH"": ""สามารถตั้งเตือนคู่ค้าได้ (สต็อก)""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
45,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",20,9,1,2,\N,\N,2026-03-18 05:30:58.653183,2026-03-31 04:15:33.84414,\N
50,"{""en_US"": ""Display Serial & Lot Number in Delivery Slips"", ""th_TH"": ""แสดงหมายเลขซีเรียลและหมายเลขล็อตในใบส่งสินค้า""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
53,"{""en_US"": ""Manage Different Stock Owners"", ""th_TH"": ""จัดการเจ้าของสต็อกที่แตกต่าง""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
48,"{""en_US"": ""Manage Lots / Serial Numbers"", ""th_TH"": ""จัดการล็อต / เลขซีเรียล""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
46,"{""en_US"": ""Manage Multiple Stock Locations"", ""th_TH"": ""จัดการสต็อกสินค้าหลายแห่ง""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
47,"{""en_US"": ""Manage Multiple Warehouses"", ""th_TH"": ""จัดการคลังสินค้าหลายแห่ง""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
51,"{""en_US"": ""Manage Packages"", ""th_TH"": ""จัดการหีบห่อ""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
52,"{""en_US"": ""Manage Push and Pull inventory flows"", ""th_TH"": ""จัดการการไหลของสินค้าแบบผลักและแบบดึง""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
49,"{""en_US"": ""Print GS1 Barcodes for Lot & Serial Numbers"", ""th_TH"": ""พิมพ์บาร์โค้ด GS1 สำหรับล็อตและหมายเลขซีเรียล""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
55,"{""en_US"": ""Require a signature on your delivery orders"", ""th_TH"": ""ต้องมีลายเซ็นในคำสั่งซื้อจัดส่งของคุณ""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
56,"{""en_US"": ""Use Reception Report"", ""th_TH"": ""ใช้รายงานการรับ""}",\N,\N,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-29 06:23:03.015949,\N
44,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",10,9,1,1,\N,\N,2026-03-18 05:30:58.653183,2026-03-30 07:52:56.13228,\N
57,"{""en_US"": ""Display Serial & Lot Number on Invoices"", ""th_TH"": ""แสดงหมายเลขซีเรียลและหมายเลขล็อตบนใบแจ้งหนี้""}",\N,\N,1,1,\N,\N,2026-03-18 05:31:08.152547,2026-03-18 05:31:08.152547,\N
42,"{""en_US"": ""Show Lead Menu"", ""th_TH"": ""แสดงเมนูลูกค้าเป้าหมาย""}",\N,\N,1,1,\N,\N,2026-03-18 05:05:38.118228,2026-03-29 06:22:55.489688,\N
43,"{""en_US"": ""Show Recurring Revenues Menu"", ""th_TH"": ""แสดงเมนูรายได้ประจำ""}",\N,\N,1,1,\N,\N,2026-03-18 05:05:38.118228,2026-03-29 06:22:55.489688,\N
86,"{""en_US"": ""Editor and Designer"", ""th_TH"": ""แก้ไขและออกแบบ""}",20,18,1,1,\N,\N,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842,\N
88,"{""en_US"": ""Multi-website"", ""th_TH"": ""หลายเมนู""}",\N,\N,1,1,\N,\N,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842,\N
87,"{""en_US"": ""Public access to arbitrary exposed model"", ""th_TH"": ""การเข้าถึงแบบสาธารณะสำหรับโมเดลที่ถูกเปิดเผยโดยพลการ""}",\N,\N,1,1,\N,\N,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842,\N
85,"{""en_US"": ""Restricted Editor"", ""th_TH"": ""ผู้แก้ไขที่ถูกจำกัด""}",10,18,1,1,\N,\N,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842,\N
36,"{""en_US"": ""Allow to define fiscal years of more or less than a year"", ""th_TH"": ""อนุญาตให้กําหนดปีบัญชีที่มีมากกว่าหรือน้อยกว่าปี""}",\N,\N,1,1,\N,\N,2026-03-18 05:04:19.213591,2026-03-29 06:24:40.849619,\N
69,"{""en_US"": ""Manager"", ""th_TH"": ""ผู้จัดการ""}",20,14,1,1,\N,\N,2026-03-18 05:35:00.54713,2026-03-29 06:22:47.202223,\N
