id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date
12,"{""en_US"": ""Access to Private Addresses"", ""th_TH"": ""รายชื่อและที่อยู่""}",15,\N,1,1,\N,\N,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597
13,"{""en_US"": ""Manage Multiple Units of Measure"", ""th_TH"": ""จัดการหน่วยวัดหลายหน่วย""}",15,\N,1,1,\N,\N,2023-06-20 04:01:38.804382,2023-06-20 04:01:38.804382
17,"{""en_US"": ""Advanced Pricelists"", ""th_TH"": ""รายการราคาขั้นสูง""}",15,\N,1,1,\N,\N,2023-06-20 04:01:52.810758,2023-06-20 04:01:52.810758
1,"{""en_US"": ""Internal User"", ""th_TH"": ""ผู้ใช้งาน""}",120,\N,\N,2,\N,\N,\N,2023-11-20 10:49:41.833212
122,"{""en_US"": ""Purchase Request User""}",132,\N,1,1,\N,\N,2023-09-12 03:58:17.542208,2024-08-05 04:30:24.983644
123,"{""en_US"": ""Purchase Request Manager""}",132,\N,1,1,\N,\N,2023-09-12 03:58:17.542208,2024-08-05 04:30:24.983644
11,"{""en_US"": ""Public"", ""th_TH"": ""สาธารณะ""}",120,\N,1,1,"{""en_US"": ""Public users have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups."", ""th_TH"": ""Public users have specific access rights (such as record rules and restricted menus).\\n                They usually do not belong to the usual Odoo groups.""}",\N,2023-06-20 03:55:19.517597,2023-06-20 04:02:03.189511
21,"{""en_US"": ""User: Own Documents Only"", ""th_TH"": ""ผู้ใช้: เอกสารของตัวเองเท่านั้น""}",6,\N,1,1,"{""en_US"": ""the user will have access to his own data in the sales application."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงข้อมูลของตนเองในแอปพลิเคชันการขาย""}",\N,2023-06-20 04:01:55.282126,2023-06-20 04:01:55.282126
29,"{""en_US"": ""Bookkeeper"", ""th_TH"": ""Show Full Accounting Features""}",30,\N,1,1,\N,\N,2023-06-20 04:02:03.189511,2023-09-05 08:03:50.15137
30,"{""en_US"": ""Accountant"", ""th_TH"": ""Billing Administrator""}",30,\N,1,1,\N,\N,2023-06-20 04:02:03.189511,2023-09-05 08:03:50.15137
28,"{""en_US"": ""Billing"", ""th_TH"": ""ทำรายการบิล""}",30,\N,1,1,\N,\N,2023-06-20 04:02:03.189511,2023-09-05 08:03:50.15137
39,"{""en_US"": ""Show Lead Menu"", ""th_TH"": ""แสดงเมนูลูกค้าเป้าหมาย""}",15,\N,1,1,\N,\N,2023-06-20 04:04:30.343186,2023-06-20 04:04:30.343186
40,"{""en_US"": ""Show Recurring Revenues Menu"", ""th_TH"": ""แสดงเมนูรายได้ประจำ""}",15,\N,1,1,\N,\N,2023-06-20 04:04:30.343186,2023-06-20 04:04:30.343186
111,"{""en_US"": ""Send an automatic reminder email to confirm delivery""}",15,\N,1,1,\N,\N,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352
110,"{""en_US"": ""A warning can be set on a product or a customer (Purchase)"", ""th_TH"": ""A warning can be set on a product or a customer (Purchase)""}",15,\N,1,1,\N,\N,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352
109,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",14,\N,1,1,\N,\N,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352
108,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",14,\N,1,1,\N,\N,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352
117,"{""en_US"": ""Use Reception Report with Manufacturing Orders""}",15,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
118,"{""en_US"": ""Use Operation Dependencies""}",15,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
72,"{""en_US"": ""Officer : Manage all employees""}",36,\N,1,1,"{""en_US"": ""The user will be able to approve document created by employees."", ""th_TH"": ""ผู้ใช้จะสามารถอนุมัติเอกสารที่สร้างโดยพนักงานได้""}",\N,2023-06-20 04:08:14.454882,2023-09-11 03:53:57.706166
112,"{""en_US"": ""User"", ""th_TH"": ""ผู้ใช้""}",26,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
113,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",26,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
114,"{""en_US"": ""Manage Work Order Operations"", ""th_TH"": ""จัดการการปฏิบัติการคำสั่งงาน""}",15,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
22,"{""en_US"": ""User: All Documents"", ""th_TH"": ""ผู้ใช้: เอกสารทั้งหมด""}",6,\N,1,1,"{""en_US"": ""the user will have access to all records of everyone in the sales application."", ""th_TH"": ""ผู้ใช้จะสามารถเข้าถึงบันทึกทั้งหมดของทุกคนในแอปพลิเคชันการขาย""}",\N,2023-06-20 04:01:55.282126,2023-06-20 04:01:55.282126
23,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",6,\N,1,1,"{""en_US"": ""the user will have an access to the sales configuration as well as statistic reports."", ""th_TH"": ""ผู้ใช้จะมีสิทธิ์เข้าถึงการกำหนดค่าการขายและรายงานสถิติ""}",\N,2023-06-20 04:01:55.282126,2023-06-20 04:01:55.282126
115,"{""en_US"": ""Produce residual products"", ""th_TH"": ""ผลิตผลิตภัณฑ์ตกค้าง""}",15,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
116,"{""en_US"": ""Unlocked by default"", ""th_TH"": ""ปลดล็อกโดยค่าเริ่มต้น""}",15,\N,1,1,\N,\N,2023-09-05 08:36:38.188046,2023-09-05 08:36:38.188046
