id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
582,1,581,1,1,576/579/581/582/,\N,"ir.actions.act_window,164","{""en_US"": ""Product Attributes""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
304,2,145,1,1,292/145/304/,\N,\N,"{""en_US"": ""Audit Reports""}",t,2023-06-20 04:05:28.545749,2023-09-05 08:03:57.584349,\N
577,1,576,1,1,576/577/,\N,\N,"{""en_US"": ""Orders"", ""th_TH"": ""คำสั่ง""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
421,100,414,1,1,414/421/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122,\N
418,2,414,1,1,414/418/,\N,"ir.actions.act_window,634","{""en_US"": ""Expense Reports"", ""th_TH"": ""รายงานรายจ่าย""}",t,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122,\N
414,230,\N,1,1,414/,"hr_expense,static/description/icon.svg",\N,"{""en_US"": ""Expenses"", ""th_TH"": ""รายจ่าย""}",t,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122,\N
633,20,631,1,1,627/631/633/,\N,"ir.actions.act_window,945","{""en_US"": ""All Approvals"", ""th_TH"": ""การอนุมัติทั้งหมด""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
627,255,\N,1,1,627/,"approvals,static/description/icon.svg","ir.actions.act_window,940","{""en_US"": ""Approvals"", ""th_TH"": ""การอนุมัติ""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
635,10,634,1,1,627/634/635/,\N,"ir.actions.act_window,941","{""en_US"": ""Approvals Types"", ""th_TH"": ""ประเภทการอนุมัติ""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
153,3,151,1,1,292/149/151/153/,\N,"ir.actions.act_window,279","{""en_US"": ""Incoterms"", ""th_TH"": ""Incoterms""}",t,2023-06-20 04:02:03.189511,2023-09-01 02:54:37.613236,\N
178,30,\N,1,2,178/,"sale_management,static/description/icon.svg",\N,"{""en_US"": ""Sales"", ""th_TH"": ""การขาย""}",t,2023-06-20 04:02:17.673357,2023-11-29 02:54:38.14336,\N
632,10,631,1,1,627/631/632/,\N,"ir.actions.act_window,944","{""en_US"": ""Approvals to Review"", ""th_TH"": ""การอนุมัติที่จะตรวจสอบ""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
634,40,627,1,1,627/634/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2023-09-11 02:37:44.625473,2023-09-11 03:53:56.2079,\N
420,0,419,1,1,414/419/420/,\N,"ir.actions.act_window,630","{""en_US"": ""Expenses Analysis"", ""th_TH"": ""การวิเคราห์รายจ่าย""}",t,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122,\N
