queue_order	module	batch_id	module_bank	module_question_count	standard_question_count	expected_answer_rows	source_relative_path	manifest_sha256	license	state	attempt	session_pid	started_at	ended_at	terminal_result	output_manifest_sha256
1	base	W1-B01	G01_BASE_GMVQ_MVQ_50_V1.00_DRAFT.md	50	55	105	odoo/addons/base	0ad4109fd814b9212de92ec35c004669d915df04fb8c54e410be89656b524c36	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
2	mail	W1-B01	G01_MAIL_GMVQ_MVQ_50_V1.00_DRAFT.md	50	55	105	odoo/addons/mail	aa251bd517b4cf25929fcfdd1c8a05eb8bad46d03de3b246dda8aa33e1db409f	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
3	web	W1-B01	G01_WEB_GMVQ_MVQ_50_V1.00_DRAFT.md	50	55	105	odoo/addons/web	e34b9cf41fb4219f838fba9f7c907d8b7bf45c222bd768177d775614e5e8f2e9	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
4	auth_signup	W1-B02	G01_AUTH_SIGNUP_GMVQ_MVQ_40_V1.00_DRAFT.md	40	55	95	odoo/addons/auth_signup	4e2be94656bf1268acf8b7a10cfe772ac4afc74beeab2ed87b32685956856e46	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
5	base_automation	W1-B02	G01_BASE_AUTOMATION_GMVQ_MVQ_40_V1.00_DRAFT.md	40	55	95	odoo/addons/base_automation	85ba14f6e6be4e25048407ac9c006fc946d82b7e9e40099a3daed0accbae4059	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
6	bus	W1-B02	G01_BUS_GMVQ_MVQ_40_V1.00_DRAFT.md	41	55	96	odoo/addons/bus	0da3173c1091b701877f8be0c4c3b8996c0bccb717d68fadd61574a30206331b	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
7	digest	W1-B03	G01_DIGEST_GMVQ_MVQ_40_V1.00_DRAFT.md	40	55	95	odoo/addons/digest	4e41053e52b9bc1186c1dcae615352fc041789d38a6f1e392dd24070a47a9ce5	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
8	portal	W1-B03	G01_PORTAL_GMVQ_MVQ_40_V1.00_DRAFT.md	40	55	95	odoo/addons/portal	4415ca5bfdb7bfe99b9cad263d1b3b360e329abcb55b53c32d68e205caafcfe6	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
9	utm	W1-B03	G01_UTM_GMVQ_MVQ_40_V1.00_DRAFT.md	40	55	95	odoo/addons/utm	c38c68b91300db6175ecdad8963f45b7cfcfc2afe7a6967fad1b4c7a3c694e97	LGPL-3	ELIGIBLE-A1	001	NONE	NONE	NONE	NONE	NONE
